# Point Set File Format:
# Settings are specified with #@ prefix followed by name: value
#@name: Rak1 Zeros [σ5]
#@color:#ffffff
#@skipCriticalLine: false
#@samplingInterval: 1
# Data format: real,index
-24.687748466151200,37.583641060731200
-24.507674064644400,36.582213776140300
-24.395831572704300,38.484444097706500
-24.240255855292900,35.580262007545000
-23.780590572207400,34.578299772722600
-23.376217060101900,37.482548727435300
-23.213150834403500,33.576323659541300
-22.495444636847000,32.574484989629500
-22.364648751859900,36.481259441256900
-21.702324005162600,35.480288277506000
-21.695347218022700,31.573145218163700
-21.238976619559200,34.478534806461900
-21.062690888945400,30.572459434553900
-20.688205273105200,29.571193951396700
-20.380334355386300,33.477036277063900
-20.096558946010500,28.570032990351200
-19.968316881232000,32.476028827697000
-19.758794007587900,31.474300027333500
-19.662943154589600,27.569358672618000
-19.578065835703300,30.471820890890200
-19.451080837078200,26.568543440270100
-19.371262931179300,25.567087238693300
-19.310568847260800,24.564823160329200
-19.242182310742000,29.468534544931700
-18.929311479526300,23.561712932814200
-18.636535862276600,28.464404042797100
-18.352335545215800,22.559018431123700
-17.785727503665400,21.556368690128000
-17.578968118565800,27.460929662294400
-17.185113538575300,20.553462388236400
-16.746567090827700,26.457894729010300
-16.482468028127700,19.550571024993300
-15.883933498909700,25.454192198124100
-15.541421185474700,18.547241841333600
-14.847907412085600,24.450065165867100
-14.468682845320700,17.546706073083800
-14.144557863282600,16.546266642906600
-13.802719792066300,15.543853874152600
-13.671649718847500,23.446530676574100
-13.620963116308400,36.396620486773900
-13.503962177329700,35.391711097776400
-13.460747072454000,37.400608487912500
-13.421345879716900,14.540471908970600
-13.085679413111700,38.405323236367800
-13.054181477525300,34.385782480862000
-12.913436044862300,13.537311391035500
-12.507865889851800,39.067879538149900
-12.494663404450300,12.531985503419000
-12.275894924489500,33.379477748846700
-12.103987124431600,21.447362666255400
-12.062397520396800,20.442051156472300
-11.610590164547300,11.525066499204400
-11.453799088891500,19.436397491539100
-11.022913967528900,18.430176801844100
-10.954912501154800,29.058892158036900
-10.915231789539500,22.444035003466900
-10.871523484962500,38.066766296132600
-10.755638185366100,28.054580738916000
-10.565549868160000,30.063168715450400
-10.499995632796300,10.519056522026400
-10.295269081972800,17.425278649029000
-10.093265478936800,27.047390952555000
-10.071866129797900,31.066318046378500
-10.023085813836400,16.415839344504500
-9.923202214811260,31.373854893282500
-9.748982455806140,34.071000192822100
-9.467987875974030,37.062400429222500
-9.377348754504680,9.516232063840540
-9.353445764409610,32.943772239217900
-9.238453499131120,35.074564986074600
-9.234170850830840,32.070522674988200
-9.149611343405660,31.938266651907900
-9.069793236749870,33.948767300247200
-8.910213427466310,30.367480152640900
-8.853603846376870,32.374899373773600
-8.713326345856420,15.404873177275200
-8.609133883588500,30.928856982107100
-8.529346815825660,33.062823295343100
