# Point Set File Format:
# Settings are specified with #@ prefix followed by name: value
#@name: Gram Champions
#@color: #ffd700
#@skipCriticalLine: false
#@samplingInterval: 1
#@hLine: true
# Gram points g_n (θ(g_n)=nπ) where |Z(g_n)| sets a new running record, T ∈ (0, 3000].
# Z at Gram pt = (−1)^n·2Σcos(t·ln k)/√k + RS C0 remainder. Data: real,index (σ=0.5, T).
0.5,0.77498757
0.5,1.21042036
0.5,1.61859736
0.5,1.89355458
0.5,2.20932831
0.5,2.68227330
0.5,3.31149581
0.5,3.67389819
0.5,4.73717145
0.5,5.14434483
0.5,6.19137896
0.5,7.19534547
0.5,8.24885252
0.5,9.69271120
0.5,11.45701317
0.5,12.54935625
0.5,13.19814038
0.5,14.31348249
0.5,15.20910118
0.5,17.19693181
0.5,17.47906031
0.5,19.23918452
0.5,21.71373590
0.5,24.17748941
0.5,24.72566343
0.5,26.19816087
0.5,32.21964777
0.5,32.70139234
0.5,36.22934409
0.5,36.59906802
0.5,37.71154885
0.5,39.44628841
0.5,40.72533807
0.5,41.72893317
0.5,42.94052353
0.5,44.36222024
0.5,45.20633126
0.5,47.21407291
0.5,59.07429058
0.5,61.72751999
0.5,69.48619485
0.5,89.26378273
0.5,93.14959777
0.5,100.22989440
0.5,108.72319623
0.5,110.49218854
0.5,129.22161001
0.5,143.37447406
0.5,155.22055245
0.5,203.13211645
0.5,223.21549542
0.5,228.24696578
0.5,287.71448889
0.5,291.18497960
0.5,370.73058332
0.5,384.15384626
0.5,403.23627195
0.5,462.23320391
0.5,552.73005523
0.5,589.39670783
0.5,683.50317202
0.5,720.73881142
0.5,729.22912742
0.5,928.23720204
0.5,989.28031350
0.5,1251.58357653
0.5,1259.14821466
0.5,1324.25091156
0.5,1402.74157598
0.5,1556.74678065
0.5,1567.97871372
0.5,2134.59806640
0.5,2135.24663530
0.5,2209.73594455
0.5,2426.23787502
0.5,2609.21563349
0.5,2727.16014473
0.5,2912.74461088
