# Point Set File Format:
# Settings are specified with #@ prefix followed by name: value
#@name: [σ5] Rak1Zetas
#@color:#E02D22
#@skipCriticalLine: false
#@samplingInterval: 1
# Data format: real,imaginary
2.572868844230520,1.411445787036990
1.291637330536850,1.783828212962880
0.670711221172568,2.069731516666700
0.983429079361557,2.316813672222780
3.821688560063510,2.453175935186030
0.641642603919466,2.589525450001130
0.779075828906637,2.778066257408940
1.878551229138070,2.881782131483230
0.139361853073590,3.018012127779820
1.197638848592610,3.158620868520850
0.753141551874408,3.245812427780300
5.018720962405570,3.391900000002830
5.044706983171330,3.392005105558380
5.046551586586410,3.392000000002830
5.074421988889350,3.392103344033230
4.470561945154470,3.447114094447390
2.112865870097770,3.531965694447570
0.512869653771785,3.606845377967770
0.373601718919388,3.731642794447990
1.203763297222780,3.804647161114810
1.879819830071070,3.911504587040960
0.880180453024069,3.936570616670640
6.486078806508510,3.939696136106470
6.488036302706430,3.939774438601830
6.450031945817540,3.939800000003980
6.304209728658900,3.939900000003980
6.168090029587890,3.939894894448430
6.170356923618020,3.940000000003980
6.044286011661290,3.939994894448430
6.046740912471060,3.940100000003980
5.929339245163140,3.940094894448430
5.932013511105170,3.940200000003980
5.822174352142210,3.940194894448430
5.825110474973920,3.940300000003980
5.721930005936270,3.940294894448430
5.725188164701440,3.940400000003980
5.627917213400480,3.940394894448430
5.631587817560830,3.940500000003980
5.539597379429160,3.940494894448430
5.543828218860040,3.940600000003980
5.456584357782880,3.940594894448430
5.461650806475300,3.940700000003990
5.378695885689660,3.940694894448430
5.385248503881680,3.940800000003990
5.306186944953060,3.940794894448430
5.317239934919940,3.940900000003990
5.249924256481070,3.940917795775180
0.427636278764536,4.050150124078070
0.480822216122687,4.118319657411240
0.943018493582901,4.223082453707290
1.421048526960540,4.250077638892420
0.973362155337775,4.346162190744040
0.414030321665116,4.410545894447600
0.338415575582828,4.516308094447350
1.354512786224790,4.577342327780540
1.268237583209080,4.651850168521110
6.411787138128390,4.652398992009640
6.419697791968420,4.652415645501050
6.233222249344320,4.652500000002590
6.016974179328260,4.652600000002590
5.798751515882510,4.652594894447030
5.809719739663720,4.652700000002590
5.598391600853310,4.652694894447030
5.611865744547440,4.652800000002590
5.407151109961620,4.652794894447030
5.424686571165280,4.652900000002590
5.226372311790900,4.652894894447030
5.252714549616270,4.653000000002590
5.105918734016260,4.653059992320070
0.396110294656406,4.694521205558050
0.342958377448682,4.782162316668950
3.178505667271300,4.836027530449510
3.227154951393480,4.836100000002160
3.288557405252760,4.836200000002160
3.362634111555530,4.836305105557720
3.353903443136090,4.836300000002160
3.427840187620170,4.836405105557720
3.421110170436650,4.836400000002160
3.494934171771100,4.836505105557720
3.489463710238370,4.836500000002160
3.563207374033580,4.836605105557720
0.807837297879466,4.836600000002160
0.807847462039024,4.836608394446610
2.444589443765120,4.887485390742780
0.255044087104463,4.944521683335240
1.961571843820180,4.991027172224020
0.439513296055354,5.051387746297960
0.146687641119604,5.104146161112650
0.807144998788155,5.181041016668030
0.834215008200783,5.211565350001290
1.420917593310490,5.274950879630770
1.511779765998850,5.330119572223230
0.952516714506538,5.350300000000960
0.952509891809651,5.350298494445410
0.952609314574296,5.350400000000960
0.952287949911531,5.350394894445410
0.953596622364926,5.350500000000960
0.953282539034466,5.350494227778740
0.954023808326200,5.350600000000960
0.954670000611992,5.350612733830480
0.192276893010627,5.432019190741510
0.778567413800327,5.482799324074730
1.233105540377830,5.549554450000500
0.282447466055264,5.584572290741160
0.864918218657214,5.655286172222470
1.266230657453970,5.690079094444620
0.787599103852762,5.725411827777870
0.193249050065853,5.791557272222160
0.804907165159157,5.825478794444300
0.846291378303533,5.885044516666390
3.202409936821250,5.922056570727120
0.373752257530210,5.937276761110710
