index, Ar.x, Ar.y, Ag.x, Ag.y, InfR.x, InfR.y, InfG.x, InfG.y, Tr.x, Tr.y, Tg.x, Tg.y
2.1101, 1.79621,-0.34066, 0.16758,-1.21323, 0.34192,-0.21555, 0.65808,0.21555, 0.35359,-0.23955, -0.01725,0.68915
2.1151, 1.81141,-0.30269, 0.08651,-1.22169, 0.34881,-0.20821, 0.65119,0.20821, 0.36031,-0.23182, -0.05416,0.67824
2.1201, 1.82482,-0.26397, 0.00490,-1.22474, 0.35556,-0.20081, 0.64444,0.20081, 0.36688,-0.22407, -0.08979,0.66557
2.1251, 1.83640,-0.22458, -0.07689,-1.22233, 0.36218,-0.19337, 0.63782,0.19337, 0.37331,-0.21628, -0.12408,0.65124
2.1301, 1.84612,-0.18461, -0.15849,-1.21445, 0.36868,-0.18589, 0.63132,0.18589, 0.37961,-0.20847, -0.15698,0.63537
2.1351, 1.85394,-0.14415, -0.23954,-1.20109, 0.37505,-0.17837, 0.62495,0.17837, 0.38579,-0.20064, -0.18842,0.61807
2.1401, 1.85984,-0.10328, -0.31965,-1.18229, 0.38131,-0.17081, 0.61869,0.17081, 0.39184,-0.19279, -0.21838,0.59944
2.1451, 1.86380,-0.06210, -0.39848,-1.15811, 0.38746,-0.16322, 0.61254,0.16322, 0.39778,-0.18492, -0.24681,0.57961
2.1501, 1.86578,-0.02071, -0.47563,-1.12862, 0.39351,-0.15560, 0.60649,0.15560, 0.40360,-0.17703, -0.27369,0.55868
2.1551, 1.86578,0.02082, -0.55077,-1.09392, 0.39945,-0.14795, 0.60055,0.14795, 0.40932,-0.16913, -0.29900,0.53676
2.1601, 1.86378,0.06237, -0.62352,-1.05414, 0.40530,-0.14028, 0.59470,0.14028, 0.41494,-0.16123, -0.32272,0.51395
2.1651, 1.85977,0.10386, -0.69355,-1.00945, 0.41106,-0.13258, 0.58894,0.13258, 0.42046,-0.15331, -0.34485,0.49035
2.1701, 1.85377,0.14519, -0.76050,-0.96002, 0.41673,-0.12487, 0.58327,0.12487, 0.42590,-0.14538, -0.36538,0.46608
2.1751, 1.84576,0.18625, -0.82406,-0.90605, 0.42233,-0.11713, 0.57767,0.11713, 0.43125,-0.13745, -0.38432,0.44122
2.1801, 1.83576,0.22696, -0.88391,-0.84776, 0.42785,-0.10938, 0.57215,0.10938, 0.43651,-0.12951, -0.40167,0.41587
2.1851, 1.82377,0.26720, -0.93975,-0.78542, 0.43330,-0.10162, 0.56670,0.10162, 0.44171,-0.12157, -0.41746,0.39013
2.1901, 1.80982,0.30689, -0.99128,-0.71927, 0.43868,-0.09383, 0.56132,0.09383, 0.44683,-0.11363, -0.43169,0.36407
2.1951, 1.79393,0.34593, -1.03826,-0.64963, 0.44401,-0.08604, 0.55599,0.08604, 0.45189,-0.10568, -0.44439,0.33780
2.2001, 1.77613,0.38422, -1.08042,-0.57679, 0.44928,-0.07824, 0.55072,0.07824, 0.45690,-0.09774, -0.45559,0.31137
2.2051, 1.75644,0.42167, -1.11755,-0.50108, 0.45450,-0.07042, 0.54550,0.07042, 0.46184,-0.08979, -0.46531,0.28489
2.2101, 1.73490,0.45818, -1.14943,-0.42286, 0.45968,-0.06260, 0.54032,0.06260, 0.46674,-0.08185, -0.47359,0.25841
2.2151, 1.71156,0.49365, -1.17589,-0.34247, 0.46482,-0.05477, 0.53518,0.05477, 0.47159,-0.07390, -0.48047,0.23201
2.2201, 1.68646,0.52799, -1.19677,-0.26029, 0.46992,-0.04694, 0.53008,0.04694, 0.47641,-0.06596, -0.48597,0.20575
2.2251, 1.65965,0.56113, -1.21193,-0.17672, 0.47500,-0.03910, 0.52500,0.03910, 0.48118,-0.05802, -0.49015,0.17969
2.2301, 1.63119,0.59296, -1.22127,-0.09213, 0.48005,-0.03125, 0.51995,0.03125, 0.48593,-0.05009, -0.49304,0.15390
2.2351, 1.60114,0.62340, -1.22473,-0.00695, 0.48508,-0.02340, 0.51492,0.02340, 0.49066,-0.04216, -0.49469,0.12843
2.2401, 1.56957,0.65238, -1.22223,0.07842, 0.49009,-0.01555, 0.50991,0.01555, 0.49536,-0.03423, -0.49514,0.10332
2.2451, 1.53653,0.67980, -1.21377,0.16357, 0.49510,-0.00770, 0.50490,0.00770, 0.50005,-0.02631, -0.49443,0.07863
2.2501, 1.50212,0.70560, -1.19936,0.24807, 0.50010,0.00016, 0.49990,-0.00016, 0.50472,-0.01839, -0.49262,0.05439
2.2551, 1.46640,0.72970, -1.17903,0.33150, 0.50510,0.00801, 0.49490,-0.00801, 0.50940,-0.01048, -0.48976,0.03065
2.2601, 1.42946,0.75204, -1.15285,0.41346, 0.51011,0.01586, 0.48989,-0.01586, 0.51407,-0.00257, -0.48588,0.00744
2.2651, 1.39139,0.77254, -1.12091,0.49351, 0.51512,0.02372, 0.48488,-0.02372, 0.51874,0.00533, -0.48105,-0.01521
2.2701, 1.35226,0.79115, -1.08336,0.57126, 0.52015,0.03156, 0.47985,-0.03156, 0.52342,0.01322, -0.47530,-0.03727
2.2751, 1.31218,0.80780, -1.04033,0.64630, 0.52520,0.03941, 0.47480,-0.03941, 0.52812,0.02111, -0.46869,-0.05870
2.2801, 1.27125,0.82245, -0.99203,0.71825, 0.53028,0.04725, 0.46972,-0.04725, 0.53284,0.02899, -0.46126,-0.07950
2.2851, 1.22955,0.83505, -0.93866,0.78672, 0.53538,0.05509, 0.46462,-0.05509, 0.53758,0.03686, -0.45307,-0.09963
2.2901, 1.18720,0.84555, -0.88046,0.85134, 0.54052,0.06291, 0.45948,-0.06291, 0.54234,0.04472, -0.44415,-0.11909
2.2951, 1.14429,0.85392, -0.81771,0.91178, 0.54570,0.07074, 0.45430,-0.07074, 0.54714,0.05258, -0.43456,-0.13785
2.3001, 1.10094,0.86012, -0.75070,0.96770, 0.55093,0.07855, 0.44907,-0.07855, 0.55198,0.06042, -0.42434,-0.15591
2.3051, 1.05725,0.86413, -0.67975,1.01880, 0.55620,0.08635, 0.44380,-0.08635, 0.55686,0.06826, -0.41354,-0.17326
2.3101, 1.01334,0.86592, -0.60519,1.06477, 0.56153,0.09415, 0.43847,-0.09415, 0.56178,0.07608, -0.40220,-0.18989
2.3151, 0.96931,0.86548, -0.52740,1.10537, 0.56692,0.10193, 0.43308,-0.10193, 0.56676,0.08389, -0.39036,-0.20580
2.3201, 0.92529,0.86280, -0.44676,1.14035, 0.57237,0.10969, 0.42763,-0.10969, 0.57180,0.09169, -0.37807,-0.22098
2.3251, 0.88138,0.85786, -0.36367,1.16951, 0.57790,0.11744, 0.42210,-0.11744, 0.57689,0.09948, -0.36536,-0.23543
2.3301, 0.83770,0.85068, -0.27854,1.19265, 0.58349,0.12518, 0.41651,-0.12518, 0.58206,0.10725, -0.35227,-0.24916
2.3351, 0.79438,0.84126, -0.19182,1.20963, 0.58917,0.13289, 0.41083,-0.13289, 0.58729,0.11500, -0.33885,-0.26217
2.3401, 0.75151,0.82961, -0.10394,1.22033, 0.59493,0.14059, 0.40507,-0.14059, 0.59260,0.12274, -0.32513,-0.27446
2.3451, 0.70923,0.81575, -0.01536,1.22465, 0.60079,0.14826, 0.39921,-0.14826, 0.59800,0.13046, -0.31114,-0.28603
2.3501, 0.66764,0.79971, 0.07345,1.22254, 0.60673,0.15590, 0.39327,-0.15590, 0.60348,0.13815, -0.29692,-0.29690
2.3551, 0.62686,0.78152, 0.16203,1.21398, 0.61278,0.16352, 0.38722,-0.16352, 0.60905,0.14583, -0.28250,-0.30708
2.3601, 0.58701,0.76121, 0.24991,1.19898, 0.61894,0.17111, 0.38106,-0.17111, 0.61472,0.15348, -0.26791,-0.31657
2.3651, 0.54819,0.73883, 0.33662,1.17758, 0.62520,0.17867, 0.37480,-0.17867, 0.62049,0.16111, -0.25319,-0.32539
2.3701, 0.51051,0.71442, 0.42168,1.14986, 0.63158,0.18619, 0.36842,-0.18619, 0.62637,0.16871, -0.23835,-0.33354
2.3751, 0.47409,0.68805, 0.50463,1.11595, 0.63808,0.19367, 0.36192,-0.19367, 0.63236,0.17628, -0.22343,-0.34104
2.3801, 0.43903,0.65978, 0.58502,1.07599, 0.64471,0.20111, 0.35529,-0.20111, 0.63847,0.18381, -0.20845,-0.34790
2.3851, 0.40542,0.62966, 0.66240,1.03016, 0.65146,0.20850, 0.34854,-0.20850, 0.64470,0.19131, -0.19344,-0.35414
2.3901, 0.37338,0.59778, 0.73633,0.97869, 0.65836,0.21584, 0.34164,-0.21584, 0.65106,0.19877, -0.17842,-0.35977
2.3951, 0.34299,0.56422, 0.80639,0.92181, 0.66539,0.22313, 0.33461,-0.22313, 0.65755,0.20619, -0.16340,-0.36481
2.4001, 0.31435,0.52904, 0.87218,0.85982, 0.67257,0.23037, 0.32743,-0.23037, 0.66418,0.21356, -0.14842,-0.36926
2.4051, 0.28755,0.49236, 0.93333,0.79303, 0.67990,0.23754, 0.32010,-0.23754, 0.67095,0.22088, -0.13349,-0.37315
2.4101, 0.26267,0.45425, 0.98946,0.72178, 0.68739,0.24464, 0.31261,-0.24464, 0.67787,0.22815, -0.11862,-0.37650
2.4151, 0.23978,0.41481, 1.04025,0.64643, 0.69504,0.25167, 0.30496,-0.25167, 0.68494,0.23536, -0.10384,-0.37931
2.4201, 0.21897,0.37416, 1.08539,0.56739, 0.70285,0.25862, 0.29715,-0.25862, 0.69217,0.24252, -0.08915,-0.38160
2.4251, 0.20030,0.33239, 1.12459,0.48507, 0.71083,0.26549, 0.28917,-0.26549, 0.69957,0.24960, -0.07458,-0.38340
2.4301, 0.18384,0.28963, 1.15761,0.39992, 0.71899,0.27227, 0.28101,-0.27227, 0.70713,0.25661, -0.06014,-0.38471
2.4351, 0.16964,0.24597, 1.18423,0.31239, 0.72732,0.27896, 0.27268,-0.27896, 0.71487,0.26355, -0.04583,-0.38556
2.4401, 0.15775,0.20155, 1.20428,0.22297, 0.73584,0.28554, 0.26416,-0.28554, 0.72278,0.27040, -0.03167,-0.38596
2.4451, 0.14823,0.15649, 1.21760,0.13214, 0.74455,0.29201, 0.25545,-0.29201, 0.73087,0.27716, -0.01767,-0.38592
2.4501, 0.14110,0.11090, 1.22408,0.04041, 0.75345,0.29837, 0.24655,-0.29837, 0.73916,0.28383, -0.00384,-0.38546
2.4551, 0.13641,0.06492, 1.22365,-0.05170, 0.76255,0.30460, 0.23745,-0.30460, 0.74763,0.29039, 0.00982,-0.38461
2.4601, 0.13418,0.01868, 1.21629,-0.14367, 0.77184,0.31070, 0.22816,-0.31070, 0.75631,0.29685, 0.02329,-0.38336
2.4651, 0.13442,-0.02769, 1.20199,-0.23498, 0.78134,0.31666, 0.21866,-0.31666, 0.76518,0.30319, 0.03658,-0.38174
2.4701, 0.13715,-0.07407, 1.18081,-0.32511, 0.79105,0.32247, 0.20895,-0.32247, 0.77426,0.30941, 0.04967,-0.37977
2.4751, 0.14237,-0.12030, 1.15282,-0.41352, 0.80096,0.32812, 0.19904,-0.32812, 0.78355,0.31549, 0.06256,-0.37746
2.4801, 0.15009,-0.16627, 1.11817,-0.49970, 0.81109,0.33360, 0.18891,-0.33360, 0.79305,0.32143, 0.07524,-0.37481
2.4851, 0.16028,-0.21183, 1.07700,-0.58315, 0.82143,0.33891, 0.17857,-0.33891, 0.80277,0.32722, 0.08773,-0.37186
2.4901, 0.17294,-0.25685, 1.02954,-0.66336, 0.83200,0.34402, 0.16800,-0.34402, 0.81270,0.33285, 0.10000,-0.36861
2.4951, 0.18804,-0.30119, 0.97602,-0.73985, 0.84277,0.34894, 0.15723,-0.34894, 0.82286,0.33831, 0.11206,-0.36507
2.5001, 0.20554,-0.34473, 0.91672,-0.81217, 0.85378,0.35365, 0.14622,-0.35365, 0.83325,0.34359, 0.12390,-0.36126
2.5051, 0.22541,-0.38732, 0.85197,-0.87985, 0.86500,0.35813, 0.13500,-0.35813, 0.84387,0.34868, 0.13553,-0.35720
2.5101, 0.24761,-0.42884, 0.78212,-0.94249, 0.87644,0.36238, 0.12356,-0.36238, 0.85471,0.35357, 0.14695,-0.35288
2.5151, 0.27206,-0.46916, 0.70755,-0.99969, 0.88811,0.36638, 0.11189,-0.36638, 0.86579,0.35824, 0.15815,-0.34833
2.5201, 0.29873,-0.50815, 0.62867,-1.05108, 0.90001,0.37012, 0.09999,-0.37012, 0.87711,0.36269, 0.16914,-0.34356
2.5251, 0.32752,-0.54569, 0.54595,-1.09633, 0.91212,0.37359, 0.08788,-0.37359, 0.88865,0.36689, 0.17992,-0.33858
2.5301, 0.35838,-0.58166, 0.45984,-1.13514, 0.92446,0.37677, 0.07554,-0.37677, 0.90044,0.37084, 0.19048,-0.33340
2.5351, 0.39121,-0.61594, 0.37085,-1.16725, 0.93701,0.37965, 0.06299,-0.37965, 0.91246,0.37453, 0.20083,-0.32803
2.5401, 0.42594,-0.64842, 0.27950,-1.19243, 0.94978,0.38222, 0.05022,-0.38222, 0.92471,0.37794, 0.21098,-0.32248
2.5451, 0.46245,-0.67900, 0.18631,-1.21049, 0.96277,0.38445, 0.03723,-0.38445, 0.93720,0.38105, 0.22092,-0.31676
2.5501, 0.50065,-0.70757, 0.09186,-1.22130, 0.97596,0.38634, 0.02404,-0.38634, 0.94992,0.38385, 0.23065,-0.31088
2.5551, 0.54044,-0.73403, -0.00331,-1.22474, 0.98936,0.38787, 0.01064,-0.38787, 0.96287,0.38632, 0.24019,-0.30485
2.5601, 0.58169,-0.75830, -0.09861,-1.22077, 1.00296,0.38902, -0.00296,-0.38902, 0.97605,0.38846, 0.24953,-0.29868
2.5651, 0.62429,-0.78028, -0.19347,-1.20937, 1.01676,0.38977, -0.01676,-0.38977, 0.98945,0.39023, 0.25867,-0.29237
2.5701, 0.66811,-0.79991, -0.28730,-1.19057, 1.03074,0.39012, -0.03074,-0.39012, 1.00308,0.39163, 0.26762,-0.28594
2.5751, 0.71303,-0.81710, -0.37953,-1.16446, 1.04490,0.39004, -0.04490,-0.39004, 1.01691,0.39264, 0.27639,-0.27940
2.5801, 0.75891,-0.83179, -0.46957,-1.13115, 1.05923,0.38951, -0.05923,-0.38951, 1.03095,0.39324, 0.28498,-0.27274
2.5851, 0.80561,-0.84393, -0.55687,-1.09082, 1.07372,0.38853, -0.07372,-0.38853, 1.04519,0.39341, 0.29339,-0.26597
2.5901, 0.85299,-0.85346, -0.64087,-1.04369, 1.08835,0.38706, -0.08835,-0.38706, 1.05962,0.39314, 0.30162,-0.25911
2.5951, 0.90091,-0.86034, -0.72103,-0.99001, 1.10313,0.38510, -0.10313,-0.38510, 1.07423,0.39240, 0.30968,-0.25216
2.6001, 0.94921,-0.86453, -0.79684,-0.93008, 1.11803,0.38263, -0.11803,-0.38263, 1.08902,0.39118, 0.31758,-0.24513
2.6051, 0.99775,-0.86602, -0.86779,-0.86425, 1.13304,0.37962, -0.13304,-0.37962, 1.10396,0.38946, 0.32532,-0.23801
2.6101, 1.04638,-0.86478, -0.93343,-0.79291, 1.14814,0.37607, -0.14814,-0.37607, 1.11905,0.38721, 0.33290,-0.23083
2.6151, 1.09494,-0.86081, -0.99331,-0.71647, 1.16331,0.37195, -0.16331,-0.37195, 1.13427,0.38442, 0.34033,-0.22357
2.6201, 1.14327,-0.85409, -1.04703,-0.63540, 1.17855,0.36724, -0.17855,-0.36724, 1.14961,0.38108, 0.34762,-0.21625
2.6251, 1.19123,-0.84465, -1.09421,-0.55018, 1.19383,0.36194, -0.19383,-0.36194, 1.16505,0.37715, 0.35476,-0.20888
2.6301, 1.23865,-0.83249, -1.13454,-0.46133, 1.20912,0.35601, -0.20912,-0.35601, 1.18057,0.37263, 0.36177,-0.20145
2.6351, 1.28539,-0.81765, -1.16770,-0.36941, 1.22441,0.34946, -0.22441,-0.34946, 1.19616,0.36749, 0.36865,-0.19397
2.6401, 1.33128,-0.80016, -1.19347,-0.27499, 1.23966,0.34225, -0.23966,-0.34225, 1.21178,0.36171, 0.37540,-0.18644
2.6451, 1.37617,-0.78006, -1.21164,-0.17865, 1.25487,0.33438, -0.25487,-0.33438, 1.22743,0.35527, 0.38203,-0.17887
2.6501, 1.41993,-0.75741, -1.22206,-0.08102, 1.26999,0.32582, -0.26999,-0.32582, 1.24306,0.34817, 0.38855,-0.17126
2.6551, 1.46238,-0.73226, -1.22462,0.01730, 1.28501,0.31658, -0.28501,-0.31658, 1.25867,0.34037, 0.39495,-0.16362
2.6601, 1.50340,-0.70469, -1.21927,0.11565, 1.29988,0.30662, -0.29988,-0.30662, 1.27421,0.33186, 0.40125,-0.15594
2.6651, 1.54285,-0.67477, -1.20601,0.21341, 1.31459,0.29594, -0.31459,-0.29594, 1.28966,0.32262, 0.40745,-0.14823
2.6701, 1.58057,-0.64260, -1.18488,0.30994, 1.32908,0.28454, -0.32908,-0.28454, 1.30499,0.31265, 0.41356,-0.14050
2.6751, 1.61645,-0.60827, -1.15598,0.40460, 1.34334,0.27239, -0.34334,-0.27239, 1.32017,0.30192, 0.41957,-0.13274
2.6801, 1.65035,-0.57187, -1.11948,0.49676, 1.35733,0.25949, -0.35733,-0.25949, 1.33515,0.29042, 0.42550,-0.12496
2.6851, 1.68216,-0.53353, -1.07557,0.58580, 1.37100,0.24583, -0.37100,-0.24583, 1.34991,0.27814, 0.43136,-0.11716
2.6901, 1.71175,-0.49336, -1.02450,0.67112, 1.38431,0.23141, -0.38431,-0.23141, 1.36440,0.26506, 0.43713,-0.10935
2.6951, 1.73903,-0.45149, -0.96658,0.75214, 1.39723,0.21623, -0.39723,-0.21623, 1.37858,0.25118, 0.44284,-0.10152
2.7001, 1.76387,-0.40804, -0.90217,0.82831, 1.40972,0.20027, -0.40972,-0.20027, 1.39241,0.23650, 0.44849,-0.09367
2.7051, 1.78620,-0.36316, -0.83166,0.89908, 1.42172,0.18354, -0.42172,-0.18354, 1.40585,0.22099, 0.45408,-0.08582
2.7101, 1.80593,-0.31699, -0.75549,0.96397, 1.43319,0.16605, -0.43319,-0.16605, 1.41885,0.20466, 0.45961,-0.07795
2.7151, 1.82297,-0.26968, -0.67415,1.02251, 1.44409,0.14779, -0.44409,-0.14779, 1.43136,0.18751, 0.46510,-0.07007
2.7201, 1.83725,-0.22138, -0.58816,1.07428, 1.45436,0.12878, -0.45436,-0.12878, 1.44333,0.16954, 0.47055,-0.06219
2.7251, 1.84872,-0.17226, -0.49807,1.11889, 1.46397,0.10902, -0.46397,-0.10902, 1.45471,0.15074, 0.47595,-0.05430
2.7301, 1.85732,-0.12248, -0.40449,1.15602, 1.47285,0.08852, -0.47285,-0.08852, 1.46544,0.13113, 0.48133,-0.04641
2.7351, 1.86301,-0.07220, -0.30801,1.18538, 1.48096,0.06730, -0.48096,-0.06730, 1.47548,0.11072, 0.48668,-0.03852
2.7401, 1.86576,-0.02160, -0.20930,1.20673, 1.48824,0.04538, -0.48824,-0.04538, 1.48476,0.08950, 0.49200,-0.03062
2.7451, 1.86553,0.02915, -0.10901,1.21988, 1.49463,0.02278, -0.49463,-0.02278, 1.49323,0.06751, 0.49731,-0.02273
2.7501, 1.86233,0.07989, -0.00782,1.22472, 1.50010,-0.00047, -0.50010,0.00047, 1.50084,0.04476, 0.50261,-0.01483
2.7551, 1.85615,0.13042, 0.09358,1.22116, 1.50458,-0.02435, -0.50458,0.02435, 1.50751,0.02127, 0.50791,-0.00694
2.7601, 1.84699,0.18058, 0.19450,1.20920, 1.50801,-0.04883, -0.50801,0.04883, 1.51319,-0.00294, 0.51320,0.00095
2.7651, 1.83487,0.23019, 0.29422,1.18888, 1.51035,-0.07387, -0.51035,0.07387, 1.51782,-0.02783, 0.51849,0.00883
2.7701, 1.81983,0.27907, 0.39206,1.16030, 1.51154,-0.09943, -0.51154,0.09943, 1.52134,-0.05337, 0.52380,0.01671
2.7751, 1.80189,0.32706, 0.48733,1.12361, 1.51152,-0.12546, -0.51152,0.12546, 1.52368,-0.07952, 0.52912,0.02458
2.7801, 1.78112,0.37396, 0.57935,1.07905, 1.51024,-0.15192, -0.51024,0.15192, 1.52479,-0.10624, 0.53446,0.03244
2.7851, 1.75757,0.41963, 0.66746,1.02689, 1.50766,-0.17875, -0.50766,0.17875, 1.52461,-0.13347, 0.53982,0.04029
2.7901, 1.73131,0.46388, 0.75103,0.96744, 1.50372,-0.20590, -0.50372,0.20590, 1.52307,-0.16117, 0.54521,0.04813
2.7951, 1.70242,0.50656, 0.82945,0.90111, 1.49836,-0.23330, -0.49836,0.23330, 1.52011,-0.18928, 0.55064,0.05595
2.8001, 1.67100,0.54751, 0.90214,0.82833, 1.49155,-0.26090, -0.49155,0.26090, 1.51568,-0.21773, 0.55611,0.06376
2.8051, 1.63713,0.58657, 0.96857,0.74958, 1.48324,-0.28861, -0.48324,0.28861, 1.50972,-0.24645, 0.56163,0.07156
2.8101, 1.60095,0.62359, 1.02822,0.66540, 1.47339,-0.31636, -0.47339,0.31636, 1.50217,-0.27537, 0.56719,0.07934
2.8151, 1.56255,0.65844, 1.08065,0.57636, 1.46195,-0.34407, -0.46195,0.34407, 1.49299,-0.30440, 0.57281,0.08710
2.8201, 1.52208,0.69097, 1.12545,0.48307, 1.44890,-0.37166, -0.44890,0.37166, 1.48213,-0.33347, 0.57850,0.09484
2.8251, 1.47966,0.72106, 1.16227,0.38618, 1.43419,-0.39904, -0.43419,0.39904, 1.46954,-0.36248, 0.58425,0.10255
