index, Ar.x, Ar.y, Ag.x, Ag.y, InfR.x, InfR.y, InfG.x, InfG.y, Tr.x, Tr.y, Tg.x, Tg.y
1.0001, 1.58658,-0.56797, 1.41421,-0.00185, 0.14667,-0.35346, 0.85333,0.35346, 0.16396,-0.42127, 0.90085,0.25474
1.0051, 1.60791,-0.54508, 1.41106,-0.09444, 0.15766,-0.34875, 0.84234,0.34875, 0.17544,-0.41491, 0.87209,0.30250
1.0101, 1.62842,-0.52130, 1.40180,-0.18693, 0.16843,-0.34382, 0.83157,0.34382, 0.18665,-0.40839, 0.84108,0.34773
1.0151, 1.64806,-0.49667, 1.38644,-0.27891, 0.17898,-0.33870, 0.82102,0.33870, 0.19758,-0.40172, 0.80801,0.39035
1.0201, 1.66680,-0.47122, 1.36496,-0.36998, 0.18932,-0.33339, 0.81068,0.33339, 0.20824,-0.39490, 0.77310,0.43029
1.0251, 1.68459,-0.44498, 1.33741,-0.45972, 0.19944,-0.32790, 0.80056,0.32790, 0.21864,-0.38796, 0.73653,0.46749
1.0301, 1.70140,-0.41797, 1.30385,-0.54771, 0.20934,-0.32224, 0.79066,0.32224, 0.22879,-0.38089, 0.69851,0.50193
1.0351, 1.71720,-0.39025, 1.26436,-0.63355, 0.21904,-0.31642, 0.78096,0.31642, 0.23868,-0.37370, 0.65922,0.53357
1.0401, 1.73195,-0.36183, 1.21908,-0.71683, 0.22853,-0.31046, 0.77147,0.31046, 0.24832,-0.36642, 0.61886,0.56240
1.0451, 1.74561,-0.33276, 1.16815,-0.79714, 0.23782,-0.30435, 0.76218,0.30435, 0.25773,-0.35904, 0.57762,0.58842
1.0501, 1.75816,-0.30308, 1.11175,-0.87408, 0.24691,-0.29812, 0.75309,0.29812, 0.26689,-0.35156, 0.53567,0.61164
1.0551, 1.76957,-0.27283, 1.05008,-0.94728, 0.25580,-0.29175, 0.74420,0.29175, 0.27583,-0.34401, 0.49319,0.63208
1.0601, 1.77979,-0.24205, 0.98338,-1.01635, 0.26450,-0.28528, 0.73550,0.28528, 0.28455,-0.33638, 0.45035,0.64977
1.0651, 1.78882,-0.21079, 0.91191,-1.08093, 0.27301,-0.27869, 0.72699,0.27869, 0.29305,-0.32869, 0.40733,0.66476
1.0701, 1.79661,-0.17910, 0.83597,-1.14068, 0.28134,-0.27200, 0.71866,0.27200, 0.30133,-0.32093, 0.36427,0.67708
1.0751, 1.80315,-0.14701, 0.75586,-1.19527, 0.28949,-0.26522, 0.71051,0.26522, 0.30941,-0.31312, 0.32132,0.68681
