index, F0 Tr.x, F0 Tr.y, F1 Tr.x, F1 Tr.y, F2 Tr.x, F2 Tr.y, F3 Tr.x, F3 Tr.y, F4 Tr.x, F4 Tr.y
0.5951, 1.01703,0.39580, 1.06009,0.39459, 1.07423,0.39240, 1.08135,0.39096, 1.08565,0.38997
0.6001, 1.03141,0.39691, 1.07479,0.39396, 1.08902,0.39118, 1.09617,0.38943, 1.10048,0.38827
0.6051, 1.04603,0.39757, 1.08967,0.39284, 1.10396,0.38946, 1.11113,0.38740, 1.11546,0.38604
0.6101, 1.06089,0.39777, 1.10473,0.39121, 1.11905,0.38721, 1.12624,0.38484, 1.13057,0.38329
0.6151, 1.07598,0.39747, 1.11994,0.38906, 1.13427,0.38442, 1.14146,0.38173, 1.14578,0.37999
0.6201, 1.09129,0.39665, 1.13530,0.38635, 1.14961,0.38108, 1.15678,0.37806, 1.16109,0.37611
0.6251, 1.10680,0.39529, 1.15079,0.38308, 1.16505,0.37715, 1.17219,0.37380, 1.17648,0.37165
0.6301, 1.12251,0.39338, 1.16638,0.37921, 1.18057,0.37263, 1.18766,0.36894, 1.19192,0.36658
0.6351, 1.13840,0.39087, 1.18207,0.37474, 1.19616,0.36749, 1.20318,0.36345, 1.20740,0.36089
0.6401, 1.15445,0.38776, 1.19784,0.36964, 1.21178,0.36171, 1.21873,0.35733, 1.22290,0.35456
0.6451, 1.17065,0.38402, 1.21365,0.36389, 1.22743,0.35527, 1.23428,0.35055, 1.23838,0.34756
0.6501, 1.18697,0.37962, 1.22949,0.35746, 1.24306,0.34817, 1.24980,0.34309, 1.25383,0.33989
0.6551, 1.20339,0.37454, 1.24533,0.35035, 1.25867,0.34037, 1.26527,0.33494, 1.26922,0.33153
0.6601, 1.21989,0.36875, 1.26115,0.34253, 1.27421,0.33186, 1.28066,0.32608, 1.28452,0.32246
0.6651, 1.23644,0.36224, 1.27692,0.33398, 1.28966,0.32262, 1.29594,0.31650, 1.29969,0.31266
0.6701, 1.25301,0.35497, 1.29260,0.32469, 1.30499,0.31265, 1.31108,0.30617, 1.31471,0.30213
0.6751, 1.26958,0.34693, 1.30817,0.31464, 1.32017,0.30192, 1.32605,0.29510, 1.32955,0.29084
0.6801, 1.28611,0.33809, 1.32358,0.30381, 1.33515,0.29042, 1.34080,0.28326, 1.34416,0.27880
0.6851, 1.30257,0.32843, 1.33881,0.29218, 1.34991,0.27814, 1.35531,0.27064, 1.35850,0.26598
0.6901, 1.31892,0.31794, 1.35381,0.27975, 1.36440,0.26506, 1.36953,0.25724, 1.37255,0.25238
0.6951, 1.33512,0.30658, 1.36854,0.26650, 1.37858,0.25118, 1.38342,0.24304, 1.38626,0.23799
0.7001, 1.35113,0.29435, 1.38297,0.25243, 1.39241,0.23650, 1.39693,0.22805, 1.39958,0.22280
0.7051, 1.36690,0.28123, 1.39704,0.23751, 1.40585,0.22099, 1.41004,0.21224, 1.41248,0.20681
0.7101, 1.38238,0.26719, 1.41071,0.22175, 1.41885,0.20466, 1.42268,0.19563, 1.42490,0.19003
0.7151, 1.39754,0.25223, 1.42393,0.20514, 1.43136,0.18751, 1.43481,0.17821, 1.43680,0.17244
0.7201, 1.41231,0.23634, 1.43666,0.18768, 1.44333,0.16954, 1.44638,0.15997, 1.44813,0.15406
0.7251, 1.42663,0.21950, 1.44883,0.16936, 1.45471,0.15074, 1.45735,0.14094, 1.45883,0.13488
0.7301, 1.44046,0.20171, 1.46039,0.15019, 1.46544,0.13113, 1.46765,0.12111, 1.46886,0.11492
0.7351, 1.45374,0.18297, 1.47129,0.13018, 1.47548,0.11072, 1.47723,0.10050, 1.47817,0.09418
0.7401, 1.46639,0.16328, 1.48148,0.10932, 1.48476,0.08950, 1.48604,0.07911, 1.48669,0.07269
0.7451, 1.47837,0.14263, 1.49088,0.08765, 1.49323,0.06751, 1.49403,0.05696, 1.49437,0.05045
0.7501, 1.48959,0.12104, 1.49944,0.06516, 1.50084,0.04476, 1.50113,0.03408, 1.50116,0.02749
0.7551, 1.49999,0.09851, 1.50710,0.04188, 1.50751,0.02127, 1.50728,0.01049, 1.50699,0.00384
