index, F0 Ag.x, F0 Ag.y, F1 Ag.x, F1 Ag.y, F2 Ag.x, F2 Ag.y, F3 Ag.x, F3 Ag.y, F4 Ag.x, F4 Ag.y
0.4301, NaN,NaN, 1.39904,-0.20663, 1.15761,0.39992, 1.00966,0.56029, 0.92492,0.62811
0.4351, NaN,NaN, 1.37670,-0.32356, 1.18423,0.31239, 1.04690,0.48716, 0.96612,0.56269
0.4401, NaN,NaN, 1.34452,-0.43850, 1.20428,0.22297, 1.07890,0.41148, 1.00272,0.49451
0.4451, NaN,NaN, 1.30263,-0.55059, 1.21760,0.13214, 1.10546,0.33361, 1.03456,0.42390
0.4501, NaN,NaN, 1.25128,-0.65901, 1.22408,0.04041, 1.12643,0.25394, 1.06145,0.35117
0.4551, NaN,NaN, 1.19076,-0.76295, 1.22365,-0.05170, 1.14169,0.17288, 1.08326,0.27668
0.4601, NaN,NaN, 1.12144,-0.86162, 1.21629,-0.14367, 1.15112,0.09084, 1.09986,0.20077
0.4651, NaN,NaN, 1.04375,-0.95424, 1.20199,-0.23498, 1.15467,0.00822, 1.11116,0.12382
0.4701, NaN,NaN, 0.95821,-1.04011, 1.18081,-0.32511, 1.15229,-0.07454, 1.11708,0.04619
0.4751, NaN,NaN, 0.86540,-1.11852, 1.15282,-0.41352, 1.14397,-0.15702, 1.11758,-0.03174
0.4801, NaN,NaN, 0.76593,-1.18884, 1.11817,-0.49970, 1.12974,-0.23879, 1.11265,-0.10959
0.4851, NaN,NaN, 0.66051,-1.25049, 1.07700,-0.58315, 1.10964,-0.31944, 1.10229,-0.18699
0.4901, NaN,NaN, 0.54989,-1.30293, 1.02954,-0.66336, 1.08375,-0.39852, 1.08653,-0.26355
0.4951, NaN,NaN, 0.43485,-1.34570, 0.97602,-0.73985, 1.05219,-0.47563, 1.06543,-0.33890
0.5001, NaN,NaN, 0.31623,-1.37840, 0.91672,-0.81217, 1.01511,-0.55035, 1.03909,-0.41266
0.5051, NaN,NaN, 0.19491,-1.40072, 0.85197,-0.87985, 0.97267,-0.62229, 1.00761,-0.48447
0.5101, NaN,NaN, 0.07181,-1.41239, 0.78212,-0.94249, 0.92508,-0.69106, 0.97115,-0.55396
0.5151, NaN,NaN, -0.05215,-1.41325, 0.70755,-0.99969, 0.87257,-0.75628, 0.92985,-0.62079
0.5201, NaN,NaN, -0.17602,-1.40322, 0.62867,-1.05108, 0.81539,-0.81760, 0.88391,-0.68462
0.5251, NaN,NaN, -0.29882,-1.38228, 0.54595,-1.09633, 0.75384,-0.87468, 0.83355,-0.74512
0.5301, NaN,NaN, -0.41961,-1.35053, 0.45984,-1.13514, 0.68822,-0.92719, 0.77900,-0.80197
0.5351, NaN,NaN, -0.53740,-1.30813, 0.37085,-1.16725, 0.61886,-0.97485, 0.72052,-0.85490
0.5401, NaN,NaN, -0.65126,-1.25533, 0.27950,-1.19243, 0.54613,-1.01739, 0.65839,-0.90362
0.5451, NaN,NaN, -0.76024,-1.19249, 0.18631,-1.21049, 0.47040,-1.05454, 0.59291,-0.94787
0.5501, NaN,NaN, -0.86346,-1.12002, 0.09186,-1.22130, 0.39205,-1.08611, 0.52440,-0.98742
0.5551, NaN,NaN, -0.96003,-1.03843, -0.00331,-1.22474, 0.31151,-1.11189, 0.45320,-1.02206
0.5601, NaN,NaN, -1.04914,-0.94832, -0.09861,-1.22077, 0.22919,-1.13173, 0.37965,-1.05160
0.5651, NaN,NaN, -1.13001,-0.85035, -0.19347,-1.20937, 0.14554,-1.14549, 0.30411,-1.07588
0.5701, NaN,NaN, -1.20192,-0.74525, -0.28730,-1.19057, 0.06100,-1.15309, 0.22696,-1.09475
0.5751, NaN,NaN, -1.26422,-0.63383, -0.37953,-1.16446, -0.02397,-1.15445, 0.14859,-1.10812
0.5801, NaN,NaN, -1.31634,-0.51697, -0.46957,-1.13115, -0.10892,-1.14955, 0.06940,-1.11588
0.5851, NaN,NaN, -1.35776,-0.39558, -0.55687,-1.09082, -0.19338,-1.13839, -0.01023,-1.11799
0.5901, NaN,NaN, -1.38808,-0.27063, -0.64087,-1.04369, -0.27689,-1.12101, -0.08989,-1.11441
0.5951, NaN,NaN, -1.40695,-0.14314, -0.72103,-0.99001, -0.35899,-1.09748, -0.16916,-1.10516
0.6001, NaN,NaN, -1.41414,-0.01415, -0.79684,-0.93008, -0.43922,-1.06791, -0.24765,-1.09026
0.6051, NaN,NaN, -1.40951,0.11527, -0.86779,-0.86425, -0.51713,-1.03243, -0.32495,-1.06977
0.6101, NaN,NaN, -1.39300,0.24402, -0.93343,-0.79291, -0.59229,-0.99122, -0.40066,-1.04378
0.6151, NaN,NaN, -1.36468,0.37101, -0.99331,-0.71647, -0.66428,-0.94450, -0.47438,-1.01240
0.6201, NaN,NaN, -1.32470,0.49515, -1.04703,-0.63540, -0.73267,-0.89248, -0.54574,-0.97579
0.6251, NaN,NaN, -1.27332,0.61535, -1.09421,-0.55018, -0.79708,-0.83546, -0.61436,-0.93411
0.6301, NaN,NaN, -1.21090,0.73056, -1.13454,-0.46133, -0.85714,-0.77372, -0.67987,-0.88757
0.6351, NaN,NaN, -1.13790,0.83975, -1.16770,-0.36941, -0.91249,-0.70759, -0.74193,-0.83639
0.6401, NaN,NaN, -1.05489,0.94192, -1.19347,-0.27499, -0.96282,-0.63743, -0.80020,-0.78082
0.6451, NaN,NaN, -0.96250,1.03614, -1.21164,-0.17865, -1.00781,-0.56362, -0.85437,-0.72115
0.6501, NaN,NaN, -0.86150,1.12153, -1.22206,-0.08102, -1.04719,-0.48655, -0.90415,-0.65766
0.6551, NaN,NaN, -0.75270,1.19727, -1.22462,0.01730, -1.08073,-0.40665, -0.94926,-0.59068
0.6601, NaN,NaN, -0.63700,1.26263, -1.21927,0.11565, -1.10821,-0.32435, -0.98945,-0.52056
