index, F0 InfR.x, F0 InfR.y, F1 InfR.x, F1 InfR.y, F2 InfR.x, F2 InfR.y, F3 InfR.x, F3 InfR.y, F4 InfR.x, F4 InfR.y
0.2351, 0.48508,-0.02340, 0.48508,-0.02340, 0.48508,-0.02340, 0.48508,-0.02340, 0.48508,-0.02340
0.2401, 0.49009,-0.01555, 0.49009,-0.01555, 0.49009,-0.01555, 0.49009,-0.01555, 0.49009,-0.01555
0.2451, 0.49510,-0.00770, 0.49510,-0.00770, 0.49510,-0.00770, 0.49510,-0.00770, 0.49510,-0.00770
0.2501, 0.50010,0.00016, 0.50010,0.00016, 0.50010,0.00016, 0.50010,0.00016, 0.50010,0.00016
0.2551, 0.50510,0.00801, 0.50510,0.00801, 0.50510,0.00801, 0.50510,0.00801, 0.50510,0.00801
0.2601, 0.51011,0.01586, 0.51011,0.01586, 0.51011,0.01586, 0.51011,0.01586, 0.51011,0.01586
0.2651, 0.51512,0.02372, 0.51512,0.02372, 0.51512,0.02372, 0.51512,0.02372, 0.51512,0.02372
0.2701, 0.52015,0.03156, 0.52015,0.03156, 0.52015,0.03156, 0.52015,0.03156, 0.52015,0.03156
0.2751, 0.52520,0.03941, 0.52520,0.03941, 0.52520,0.03941, 0.52520,0.03941, 0.52520,0.03941
0.2801, 0.53028,0.04725, 0.53028,0.04725, 0.53028,0.04725, 0.53028,0.04725, 0.53028,0.04725
0.2851, 0.53538,0.05509, 0.53538,0.05509, 0.53538,0.05509, 0.53538,0.05509, 0.53538,0.05509
0.2901, 0.54052,0.06291, 0.54052,0.06291, 0.54052,0.06291, 0.54052,0.06291, 0.54052,0.06291
0.2951, 0.54570,0.07074, 0.54570,0.07074, 0.54570,0.07074, 0.54570,0.07074, 0.54570,0.07074
0.3001, 0.55093,0.07855, 0.55093,0.07855, 0.55093,0.07855, 0.55093,0.07855, 0.55093,0.07855
0.3051, 0.55620,0.08635, 0.55620,0.08635, 0.55620,0.08635, 0.55620,0.08635, 0.55620,0.08635
0.3101, 0.56153,0.09415, 0.56153,0.09415, 0.56153,0.09415, 0.56153,0.09415, 0.56153,0.09415
0.3151, 0.56692,0.10193, 0.56692,0.10193, 0.56692,0.10193, 0.56692,0.10193, 0.56692,0.10193
0.3201, 0.57237,0.10969, 0.57237,0.10969, 0.57237,0.10969, 0.57237,0.10969, 0.57237,0.10969
0.3251, 0.57790,0.11744, 0.57790,0.11744, 0.57790,0.11744, 0.57790,0.11744, 0.57790,0.11744
0.3301, 0.58349,0.12518, 0.58349,0.12518, 0.58349,0.12518, 0.58349,0.12518, 0.58349,0.12518
0.3351, 0.58917,0.13289, 0.58917,0.13289, 0.58917,0.13289, 0.58917,0.13289, 0.58917,0.13289
0.3401, 0.59493,0.14059, 0.59493,0.14059, 0.59493,0.14059, 0.59493,0.14059, 0.59493,0.14059
0.3451, 0.60079,0.14826, 0.60079,0.14826, 0.60079,0.14826, 0.60079,0.14826, 0.60079,0.14826
0.3501, 0.60673,0.15590, 0.60673,0.15590, 0.60673,0.15590, 0.60673,0.15590, 0.60673,0.15590
0.3551, 0.61278,0.16352, 0.61278,0.16352, 0.61278,0.16352, 0.61278,0.16352, 0.61278,0.16352
0.3601, 0.61894,0.17111, 0.61894,0.17111, 0.61894,0.17111, 0.61894,0.17111, 0.61894,0.17111
0.3651, 0.62520,0.17867, 0.62520,0.17867, 0.62520,0.17867, 0.62520,0.17867, 0.62520,0.17867
0.3701, 0.63158,0.18619, 0.63158,0.18619, 0.63158,0.18619, 0.63158,0.18619, 0.63158,0.18619
0.3751, 0.63808,0.19367, 0.63808,0.19367, 0.63808,0.19367, 0.63808,0.19367, 0.63808,0.19367
0.3801, 0.64471,0.20111, 0.64471,0.20111, 0.64471,0.20111, 0.64471,0.20111, 0.64471,0.20111
0.3851, 0.65146,0.20850, 0.65146,0.20850, 0.65146,0.20850, 0.65146,0.20850, 0.65146,0.20850
0.3901, 0.65836,0.21584, 0.65836,0.21584, 0.65836,0.21584, 0.65836,0.21584, 0.65836,0.21584
0.3951, 0.66539,0.22313, 0.66539,0.22313, 0.66539,0.22313, 0.66539,0.22313, 0.66539,0.22313
0.4001, 0.67257,0.23037, 0.67257,0.23037, 0.67257,0.23037, 0.67257,0.23037, 0.67257,0.23037
0.4051, 0.67990,0.23754, 0.67990,0.23754, 0.67990,0.23754, 0.67990,0.23754, 0.67990,0.23754
0.4101, 0.68739,0.24464, 0.68739,0.24464, 0.68739,0.24464, 0.68739,0.24464, 0.68739,0.24464
0.4151, 0.69504,0.25167, 0.69504,0.25167, 0.69504,0.25167, 0.69504,0.25167, 0.69504,0.25167
0.4201, 0.70285,0.25862, 0.70285,0.25862, 0.70285,0.25862, 0.70285,0.25862, 0.70285,0.25862
0.4251, 0.71083,0.26549, 0.71083,0.26549, 0.71083,0.26549, 0.71083,0.26549, 0.71083,0.26549
0.4301, 0.71899,0.27227, 0.71899,0.27227, 0.71899,0.27227, 0.71899,0.27227, 0.71899,0.27227
0.4351, 0.72732,0.27896, 0.72732,0.27896, 0.72732,0.27896, 0.72732,0.27896, 0.72732,0.27896
0.4401, 0.73584,0.28554, 0.73584,0.28554, 0.73584,0.28554, 0.73584,0.28554, 0.73584,0.28554
0.4451, 0.74455,0.29201, 0.74455,0.29201, 0.74455,0.29201, 0.74455,0.29201, 0.74455,0.29201
0.4501, 0.75345,0.29837, 0.75345,0.29837, 0.75345,0.29837, 0.75345,0.29837, 0.75345,0.29837
