index, F0 InfG.x, F0 InfG.y, F1 InfG.x, F1 InfG.y, F2 InfG.x, F2 InfG.y, F3 InfG.x, F3 InfG.y, F4 InfG.x, F4 InfG.y
0.2551, 0.49490,-0.00801, 0.49490,-0.00801, 0.49490,-0.00801, 0.49490,-0.00801, 0.49490,-0.00801
0.2601, 0.48989,-0.01586, 0.48989,-0.01586, 0.48989,-0.01586, 0.48989,-0.01586, 0.48989,-0.01586
0.2651, 0.48488,-0.02372, 0.48488,-0.02372, 0.48488,-0.02372, 0.48488,-0.02372, 0.48488,-0.02372
0.2701, 0.47985,-0.03156, 0.47985,-0.03156, 0.47985,-0.03156, 0.47985,-0.03156, 0.47985,-0.03156
0.2751, 0.47480,-0.03941, 0.47480,-0.03941, 0.47480,-0.03941, 0.47480,-0.03941, 0.47480,-0.03941
0.2801, 0.46972,-0.04725, 0.46972,-0.04725, 0.46972,-0.04725, 0.46972,-0.04725, 0.46972,-0.04725
0.2851, 0.46462,-0.05509, 0.46462,-0.05509, 0.46462,-0.05509, 0.46462,-0.05509, 0.46462,-0.05509
0.2901, 0.45948,-0.06291, 0.45948,-0.06291, 0.45948,-0.06291, 0.45948,-0.06291, 0.45948,-0.06291
0.2951, 0.45430,-0.07074, 0.45430,-0.07074, 0.45430,-0.07074, 0.45430,-0.07074, 0.45430,-0.07074
0.3001, 0.44907,-0.07855, 0.44907,-0.07855, 0.44907,-0.07855, 0.44907,-0.07855, 0.44907,-0.07855
0.3051, 0.44380,-0.08635, 0.44380,-0.08635, 0.44380,-0.08635, 0.44380,-0.08635, 0.44380,-0.08635
0.3101, 0.43847,-0.09415, 0.43847,-0.09415, 0.43847,-0.09415, 0.43847,-0.09415, 0.43847,-0.09415
0.3151, 0.43308,-0.10193, 0.43308,-0.10193, 0.43308,-0.10193, 0.43308,-0.10193, 0.43308,-0.10193
0.3201, 0.42763,-0.10969, 0.42763,-0.10969, 0.42763,-0.10969, 0.42763,-0.10969, 0.42763,-0.10969
0.3251, 0.42210,-0.11744, 0.42210,-0.11744, 0.42210,-0.11744, 0.42210,-0.11744, 0.42210,-0.11744
0.3301, 0.41651,-0.12518, 0.41651,-0.12518, 0.41651,-0.12518, 0.41651,-0.12518, 0.41651,-0.12518
0.3351, 0.41083,-0.13289, 0.41083,-0.13289, 0.41083,-0.13289, 0.41083,-0.13289, 0.41083,-0.13289
0.3401, 0.40507,-0.14059, 0.40507,-0.14059, 0.40507,-0.14059, 0.40507,-0.14059, 0.40507,-0.14059
0.3451, 0.39921,-0.14826, 0.39921,-0.14826, 0.39921,-0.14826, 0.39921,-0.14826, 0.39921,-0.14826
0.3501, 0.39327,-0.15590, 0.39327,-0.15590, 0.39327,-0.15590, 0.39327,-0.15590, 0.39327,-0.15590
0.3551, 0.38722,-0.16352, 0.38722,-0.16352, 0.38722,-0.16352, 0.38722,-0.16352, 0.38722,-0.16352
0.3601, 0.38106,-0.17111, 0.38106,-0.17111, 0.38106,-0.17111, 0.38106,-0.17111, 0.38106,-0.17111
0.3651, 0.37480,-0.17867, 0.37480,-0.17867, 0.37480,-0.17867, 0.37480,-0.17867, 0.37480,-0.17867
0.3701, 0.36842,-0.18619, 0.36842,-0.18619, 0.36842,-0.18619, 0.36842,-0.18619, 0.36842,-0.18619
0.3751, 0.36192,-0.19367, 0.36192,-0.19367, 0.36192,-0.19367, 0.36192,-0.19367, 0.36192,-0.19367
0.3801, 0.35529,-0.20111, 0.35529,-0.20111, 0.35529,-0.20111, 0.35529,-0.20111, 0.35529,-0.20111
0.3851, 0.34854,-0.20850, 0.34854,-0.20850, 0.34854,-0.20850, 0.34854,-0.20850, 0.34854,-0.20850
0.3901, 0.34164,-0.21584, 0.34164,-0.21584, 0.34164,-0.21584, 0.34164,-0.21584, 0.34164,-0.21584
0.3951, 0.33461,-0.22313, 0.33461,-0.22313, 0.33461,-0.22313, 0.33461,-0.22313, 0.33461,-0.22313
0.4001, 0.32743,-0.23037, 0.32743,-0.23037, 0.32743,-0.23037, 0.32743,-0.23037, 0.32743,-0.23037
0.4051, 0.32010,-0.23754, 0.32010,-0.23754, 0.32010,-0.23754, 0.32010,-0.23754, 0.32010,-0.23754
0.4101, 0.31261,-0.24464, 0.31261,-0.24464, 0.31261,-0.24464, 0.31261,-0.24464, 0.31261,-0.24464
0.4151, 0.30496,-0.25167, 0.30496,-0.25167, 0.30496,-0.25167, 0.30496,-0.25167, 0.30496,-0.25167
0.4201, 0.29715,-0.25862, 0.29715,-0.25862, 0.29715,-0.25862, 0.29715,-0.25862, 0.29715,-0.25862
0.4251, 0.28917,-0.26549, 0.28917,-0.26549, 0.28917,-0.26549, 0.28917,-0.26549, 0.28917,-0.26549
0.4301, 0.28101,-0.27227, 0.28101,-0.27227, 0.28101,-0.27227, 0.28101,-0.27227, 0.28101,-0.27227
0.4351, 0.27268,-0.27896, 0.27268,-0.27896, 0.27268,-0.27896, 0.27268,-0.27896, 0.27268,-0.27896
0.4401, 0.26416,-0.28554, 0.26416,-0.28554, 0.26416,-0.28554, 0.26416,-0.28554, 0.26416,-0.28554
0.4451, 0.25545,-0.29201, 0.25545,-0.29201, 0.25545,-0.29201, 0.25545,-0.29201, 0.25545,-0.29201
0.4501, 0.24655,-0.29837, 0.24655,-0.29837, 0.24655,-0.29837, 0.24655,-0.29837, 0.24655,-0.29837
0.4551, 0.23745,-0.30460, 0.23745,-0.30460, 0.23745,-0.30460, 0.23745,-0.30460, 0.23745,-0.30460
0.4601, 0.22816,-0.31070, 0.22816,-0.31070, 0.22816,-0.31070, 0.22816,-0.31070, 0.22816,-0.31070
0.4651, 0.21866,-0.31666, 0.21866,-0.31666, 0.21866,-0.31666, 0.21866,-0.31666, 0.21866,-0.31666
0.4701, 0.20895,-0.32247, 0.20895,-0.32247, 0.20895,-0.32247, 0.20895,-0.32247, 0.20895,-0.32247
0.4751, 0.19904,-0.32812, 0.19904,-0.32812, 0.19904,-0.32812, 0.19904,-0.32812, 0.19904,-0.32812
0.4801, 0.18891,-0.33360, 0.18891,-0.33360, 0.18891,-0.33360, 0.18891,-0.33360, 0.18891,-0.33360
0.4851, 0.17857,-0.33891, 0.17857,-0.33891, 0.17857,-0.33891, 0.17857,-0.33891, 0.17857,-0.33891
0.4901, 0.16800,-0.34402, 0.16800,-0.34402, 0.16800,-0.34402, 0.16800,-0.34402, 0.16800,-0.34402
0.4951, 0.15723,-0.34894, 0.15723,-0.34894, 0.15723,-0.34894, 0.15723,-0.34894, 0.15723,-0.34894
0.5001, 0.14622,-0.35365, 0.14622,-0.35365, 0.14622,-0.35365, 0.14622,-0.35365, 0.14622,-0.35365
0.5051, 0.13500,-0.35813, 0.13500,-0.35813, 0.13500,-0.35813, 0.13500,-0.35813, 0.13500,-0.35813
0.5101, 0.12356,-0.36238, 0.12356,-0.36238, 0.12356,-0.36238, 0.12356,-0.36238, 0.12356,-0.36238
0.5151, 0.11189,-0.36638, 0.11189,-0.36638, 0.11189,-0.36638, 0.11189,-0.36638, 0.11189,-0.36638
0.5201, 0.09999,-0.37012, 0.09999,-0.37012, 0.09999,-0.37012, 0.09999,-0.37012, 0.09999,-0.37012
0.5251, 0.08788,-0.37359, 0.08788,-0.37359, 0.08788,-0.37359, 0.08788,-0.37359, 0.08788,-0.37359
0.5301, 0.07554,-0.37677, 0.07554,-0.37677, 0.07554,-0.37677, 0.07554,-0.37677, 0.07554,-0.37677
0.5351, 0.06299,-0.37965, 0.06299,-0.37965, 0.06299,-0.37965, 0.06299,-0.37965, 0.06299,-0.37965
