index, F0 Tg.x, F0 Tg.y, F1 Tg.x, F1 Tg.y, F2 Tg.x, F2 Tg.y, F3 Tg.x, F3 Tg.y, F4 Tg.x, F4 Tg.y
0.7901, 0.54953,0.02438, 0.54686,0.04168, 0.54521,0.04813, 0.54423,0.05155, 0.54358,0.05368
0.7951, 0.55543,0.03241, 0.55241,0.04953, 0.55064,0.05595, 0.54960,0.05937, 0.54891,0.06149
0.8001, 0.56137,0.04042, 0.55800,0.05737, 0.55611,0.06376, 0.55501,0.06717, 0.55428,0.06930
0.8051, 0.56733,0.04840, 0.56362,0.06520, 0.56163,0.07156, 0.56046,0.07496, 0.55970,0.07708
0.8101, 0.57334,0.05635, 0.56930,0.07300, 0.56719,0.07934, 0.56597,0.08273, 0.56518,0.08486
0.8151, 0.57940,0.06427, 0.57503,0.08078, 0.57281,0.08710, 0.57153,0.09049, 0.57071,0.09261
0.8201, 0.58551,0.07217, 0.58083,0.08853, 0.57850,0.09484, 0.57716,0.09823, 0.57630,0.10035
0.8251, 0.59168,0.08003, 0.58668,0.09626, 0.58425,0.10255, 0.58286,0.10594, 0.58196,0.10807
0.8301, 0.59791,0.08785, 0.59261,0.10396, 0.59007,0.11024, 0.58862,0.11363, 0.58770,0.11577
0.8351, 0.60422,0.09563, 0.59861,0.11163, 0.59596,0.11791, 0.59447,0.12130, 0.59351,0.12344
0.8401, 0.61060,0.10336, 0.60469,0.11927, 0.60194,0.12554, 0.60039,0.12894, 0.59940,0.13108
0.8451, 0.61706,0.11106, 0.61086,0.12687, 0.60801,0.13314, 0.60640,0.13655, 0.60538,0.13870
0.8501, 0.62361,0.11870, 0.61711,0.13444, 0.61416,0.14071, 0.61251,0.14413, 0.61146,0.14628
0.8551, 0.63025,0.12629, 0.62347,0.14196, 0.62042,0.14824, 0.61872,0.15167, 0.61763,0.15384
0.8601, 0.63700,0.13382, 0.62992,0.14943, 0.62678,0.15573, 0.62502,0.15917, 0.62391,0.16135
0.8651, 0.64384,0.14129, 0.63649,0.15686, 0.63324,0.16317, 0.63144,0.16663, 0.63029,0.16883
0.8701, 0.65079,0.14869, 0.64316,0.16424, 0.63982,0.17057, 0.63797,0.17405, 0.63679,0.17626
0.8751, 0.65786,0.15603, 0.64995,0.17156, 0.64651,0.17792, 0.64461,0.18142, 0.64341,0.18364
0.8801, 0.66505,0.16329, 0.65686,0.17882, 0.65333,0.18521, 0.65138,0.18874, 0.65015,0.19098
0.8851, 0.67237,0.17048, 0.66390,0.18602, 0.66028,0.19245, 0.65828,0.19600, 0.65702,0.19826
