index, F0 Ar.x, F0 Ar.y, F1 Ar.x, F1 Ar.y, F2 Ar.x, F2 Ar.y, F3 Ar.x, F3 Ar.y, F4 Ar.x, F4 Ar.y
0.4851, 0.45593,-0.45165, 0.24744,-0.31674, 0.16028,-0.21183, 0.11665,-0.14033, 0.09156,-0.08979
0.4901, 0.47601,-0.47480, 0.26445,-0.35444, 0.17294,-0.25685, 0.12587,-0.18947, 0.09816,-0.14152
0.4951, 0.49719,-0.49717, 0.28339,-0.39132, 0.18804,-0.30119, 0.13784,-0.23808, 0.10773,-0.19284
0.5001, 0.51943,-0.51870, 0.30423,-0.42728, 0.20554,-0.34473, 0.15253,-0.28601, 0.12022,-0.24358
0.5051, 0.54270,-0.53933, 0.32693,-0.46222, 0.22541,-0.38732, 0.16991,-0.33309, 0.13562,-0.29357
0.5101, 0.56698,-0.55901, 0.35145,-0.49604, 0.24761,-0.42884, 0.18993,-0.37918, 0.15387,-0.34264
0.5151, 0.59222,-0.57768, 0.37774,-0.52864, 0.27206,-0.46916, 0.21253,-0.42413, 0.17493,-0.39064
0.5201, 0.61840,-0.59530, 0.40573,-0.55992, 0.29873,-0.50815, 0.23766,-0.46780, 0.19874,-0.43739
0.5251, 0.64546,-0.61180, 0.43537,-0.58979, 0.32752,-0.54569, 0.26524,-0.51003, 0.22522,-0.48274
0.5301, 0.67337,-0.62715, 0.46658,-0.61817, 0.35838,-0.58166, 0.29520,-0.55068, 0.25429,-0.52654
0.5351, 0.70209,-0.64129, 0.49931,-0.64496, 0.39121,-0.61594, 0.32744,-0.58963, 0.28587,-0.56864
0.5401, 0.73154,-0.65416, 0.53346,-0.67008, 0.42594,-0.64842, 0.36188,-0.62674, 0.31985,-0.60888
0.5451, 0.76170,-0.66574, 0.56896,-0.69345, 0.46245,-0.67900, 0.39841,-0.66188, 0.35614,-0.64713
0.5501, 0.79250,-0.67598, 0.60571,-0.71498, 0.50065,-0.70757, 0.43692,-0.69494, 0.39462,-0.68326
0.5551, 0.82388,-0.68482, 0.64363,-0.73462, 0.54044,-0.73403, 0.47730,-0.72580, 0.43515,-0.71714
0.5601, 0.85578,-0.69224, 0.68263,-0.75229, 0.58169,-0.75830, 0.51941,-0.75434, 0.47763,-0.74864
0.5651, 0.88814,-0.69820, 0.72259,-0.76793, 0.62429,-0.78028, 0.56313,-0.78048, 0.52190,-0.77766
0.5701, 0.92090,-0.70267, 0.76342,-0.78147, 0.66811,-0.79991, 0.60833,-0.80411, 0.56783,-0.80409
0.5751, 0.95397,-0.70561, 0.80501,-0.79287, 0.71303,-0.81710, 0.65486,-0.82515, 0.61526,-0.82783
0.5801, 0.98730,-0.70699, 0.84724,-0.80208, 0.75891,-0.83179, 0.70257,-0.84353, 0.66403,-0.84880
0.5851, 1.02081,-0.70680, 0.89001,-0.80905, 0.80561,-0.84393, 0.75132,-0.85916, 0.71399,-0.86691
0.5901, 1.05442,-0.70501, 0.93318,-0.81376, 0.85299,-0.85346, 0.80094,-0.87200, 0.76498,-0.88210
0.5951, 1.08806,-0.70160, 0.97665,-0.81616, 0.90091,-0.86034, 0.85128,-0.88198, 0.81681,-0.89430
0.6001, 1.12165,-0.69656, 1.02029,-0.81624, 0.94921,-0.86453, 0.90217,-0.88906, 0.86931,-0.90347
0.6051, 1.15510,-0.68989, 1.06398,-0.81399, 0.99775,-0.86602, 0.95344,-0.89321, 0.92232,-0.90956
0.6101, 1.18834,-0.68156, 1.10759,-0.80938, 1.04638,-0.86478, 1.00493,-0.89441, 0.97564,-0.91255
0.6151, 1.22128,-0.67159, 1.15098,-0.80242, 1.09494,-0.86081, 1.05647,-0.89264, 1.02910,-0.91241
0.6201, 1.25384,-0.65997, 1.19404,-0.79310, 1.14327,-0.85409, 1.10788,-0.88790, 1.08251,-0.90913
0.6251, 1.28593,-0.64672, 1.23664,-0.78145, 1.19123,-0.84465, 1.15899,-0.88018, 1.13569,-0.90273
0.6301, 1.31747,-0.63183, 1.27864,-0.76748, 1.23865,-0.83249, 1.20964,-0.86951, 1.18845,-0.89321
0.6351, 1.34836,-0.61534, 1.31992,-0.75121, 1.28539,-0.81765, 1.25964,-0.85591, 1.24061,-0.88059
0.6401, 1.37853,-0.59725, 1.36034,-0.73268, 1.33128,-0.80016, 1.30883,-0.83942, 1.29199,-0.86491
0.6451, 1.40789,-0.57760, 1.39979,-0.71192, 1.37617,-0.78006, 1.35703,-0.82008, 1.34241,-0.84622
0.6501, 1.43635,-0.55642, 1.43814,-0.68899, 1.41993,-0.75741, 1.40409,-0.79794, 1.39169,-0.82457
0.6551, 1.46382,-0.53373, 1.47525,-0.66393, 1.46238,-0.73226, 1.44984,-0.77307, 1.43965,-0.80003
0.6601, 1.49023,-0.50959, 1.51102,-0.63681, 1.50340,-0.70469, 1.49412,-0.74555, 1.48612,-0.77267
0.6651, 1.51548,-0.48402, 1.54532,-0.60769, 1.54285,-0.67477, 1.53676,-0.71546, 1.53094,-0.74259
0.6701, 1.53950,-0.45709, 1.57804,-0.57666, 1.58057,-0.64260, 1.57763,-0.68289, 1.57395,-0.70987
0.6751, 1.56221,-0.42885, 1.60906,-0.54379, 1.61645,-0.60827, 1.61657,-0.64795, 1.61498,-0.67464
0.6801, 1.58353,-0.39936, 1.63829,-0.50917, 1.65035,-0.57187, 1.65344,-0.61075, 1.65389,-0.63700
0.6851, 1.60338,-0.36868, 1.66560,-0.47290, 1.68216,-0.53353, 1.68812,-0.57140, 1.69053,-0.59708
0.6901, 1.62170,-0.33689, 1.69092,-0.43508, 1.71175,-0.49336, 1.72046,-0.53004, 1.72477,-0.55501
0.6951, 1.63840,-0.30405, 1.71414,-0.39582, 1.73903,-0.45149, 1.75035,-0.48679, 1.75649,-0.51094
0.7001, 1.65343,-0.27024, 1.73517,-0.35523, 1.76387,-0.40804, 1.77769,-0.44182, 1.78555,-0.46502
0.7051, 1.66672,-0.23555, 1.75394,-0.31343, 1.78620,-0.36316, 1.80236,-0.39525, 1.81186,-0.41740
0.7101, 1.67822,-0.20006, 1.77037,-0.27054, 1.80593,-0.31699, 1.82426,-0.34726, 1.83530,-0.36826
0.7151, 1.68786,-0.16387, 1.78439,-0.22670, 1.82297,-0.26968, 1.84333,-0.29800, 1.85579,-0.31775
0.7201, 1.69560,-0.12706, 1.79595,-0.18204, 1.83725,-0.22138, 1.85946,-0.24763, 1.87324,-0.26606
0.7251, 1.70139,-0.08975, 1.80497,-0.13669, 1.84872,-0.17226, 1.87261,-0.19635, 1.88758,-0.21337
0.7301, 1.70519,-0.05203, 1.81143,-0.09080, 1.85732,-0.12248, 1.88271,-0.14431, 1.89876,-0.15987
0.7351, 1.70697,-0.01401, 1.81528,-0.04451, 1.86301,-0.07220, 1.88971,-0.09170, 1.90673,-0.10574
0.7401, 1.70669,0.02421, 1.81649,0.00202, 1.86576,-0.02160, 1.89359,-0.03871, 1.91144,-0.05118
0.7451, 1.70434,0.06251, 1.81505,0.04865, 1.86553,0.02915, 1.89431,0.01448, 1.91286,0.00362
0.7501, 1.69989,0.10077, 1.81092,0.09523, 1.86233,0.07989, 1.89186,0.06769, 1.91100,0.05846
0.7551, 1.69333,0.13888, 1.80413,0.14159, 1.85615,0.13042, 1.88624,0.12071, 1.90583,0.11314
0.7601, 1.68467,0.17673, 1.79466,0.18759, 1.84699,0.18058, 1.87746,0.17337, 1.89738,0.16746
0.7651, 1.67389,0.21419, 1.78253,0.23307, 1.83487,0.23019, 1.86554,0.22547, 1.88566,0.22122
0.7701, 1.66101,0.25114, 1.76776,0.27787, 1.81983,0.27907, 1.85051,0.27683, 1.87071,0.27423
0.7751, 1.64604,0.28746, 1.75039,0.32184, 1.80189,0.32706, 1.83241,0.32725, 1.85257,0.32629
0.7801, 1.62901,0.32303, 1.73046,0.36483, 1.78112,0.37396, 1.81130,0.37655, 1.83129,0.37721
0.7851, 1.60994,0.35773, 1.70802,0.40667, 1.75757,0.41963, 1.78724,0.42456, 1.80696,0.42679
0.7901, 1.58888,0.39143, 1.68312,0.44723, 1.73131,0.46388, 1.76031,0.47109, 1.77964,0.47486
0.7951, 1.56587,0.42402, 1.65584,0.48635, 1.70242,0.50656, 1.73060,0.51597, 1.74944,0.52123
0.8001, 1.54096,0.45538, 1.62626,0.52389, 1.67100,0.54751, 1.69820,0.55903, 1.71644,0.56572
0.8051, 1.51420,0.48538, 1.59446,0.55971, 1.63713,0.58657, 1.66323,0.60011, 1.68078,0.60817
0.8101, 1.48568,0.51392, 1.56054,0.59368, 1.60095,0.62359, 1.62580,0.63904, 1.64257,0.64841
0.8151, 1.45545,0.54089, 1.52461,0.62566, 1.56255,0.65844, 1.58604,0.67569, 1.60194,0.68630
0.8201, 1.42361,0.56617, 1.48676,0.65554, 1.52208,0.69097, 1.54408,0.70991, 1.55904,0.72167
0.8251, 1.39024,0.58967, 1.44714,0.68318, 1.47966,0.72106, 1.50009,0.74156, 1.51403,0.75439
0.8301, 1.35544,0.61128, 1.40586,0.70848, 1.43545,0.74859, 1.45420,0.77052, 1.46706,0.78434
0.8351, 1.31931,0.63091, 1.36305,0.73134, 1.38959,0.77345, 1.40658,0.79667, 1.41830,0.81139
0.8401, 1.28196,0.64846, 1.31887,0.75166, 1.34224,0.79553, 1.35741,0.81991, 1.36794,0.83544
0.8451, 1.24350,0.66386, 1.27347,0.76934, 1.29358,0.81475, 1.30686,0.84014, 1.31615,0.85638
0.8501, 1.20407,0.67702, 1.22698,0.78431, 1.24377,0.83101, 1.25511,0.85727, 1.26313,0.87413
0.8551, 1.16377,0.68788, 1.17959,0.79650, 1.19299,0.84425, 1.20235,0.87124, 1.20907,0.88861
0.8601, 1.12276,0.69637, 1.13144,0.80585, 1.14143,0.85440, 1.14877,0.88197, 1.15417,0.89976
0.8651, 1.08117,0.70243, 1.08272,0.81230, 1.08926,0.86141, 1.09458,0.88941, 1.09864,0.90753
0.8701, 1.03913,0.70602, 1.03359,0.81581, 1.03669,0.86525, 1.03997,0.89353, 1.04268,0.91187
0.8751, 0.99681,0.70710, 0.98424,0.81634, 0.98391,0.86588, 0.98515,0.89430, 0.98652,0.91277
0.8801, 0.95434,0.70563, 0.93485,0.81389, 0.93111,0.86328, 0.93033,0.89171, 0.93035,0.91021
0.8851, 0.91188,0.70159, 0.88558,0.80844, 0.87848,0.85746, 0.87570,0.88575, 0.87439,0.90419
0.8901, 0.86960,0.69498, 0.83664,0.79999, 0.82624,0.84841, 0.82148,0.87643, 0.81886,0.89472
0.8951, 0.82764,0.68578, 0.78820,0.78855, 0.77457,0.83617, 0.76788,0.86378, 0.76397,0.88183
0.9001, 0.78618,0.67400, 0.74046,0.77415, 0.72367,0.82076, 0.71509,0.84784, 0.70993,0.86556
0.9051, 0.74536,0.65967, 0.69358,0.75682, 0.67374,0.80222, 0.66333,0.82865, 0.65695,0.84596
0.9101, 0.70536,0.64280, 0.64776,0.73661, 0.62498,0.78061, 0.61280,0.80627, 0.60523,0.82310
0.9151, 0.66634,0.62343, 0.60317,0.71358, 0.57757,0.75601, 0.56369,0.78079, 0.55499,0.79706
0.9201, 0.62845,0.60162, 0.55999,0.68779, 0.53170,0.72849, 0.51620,0.75229, 0.50641,0.76792
0.9251, 0.59185,0.57742, 0.51840,0.65934, 0.48755,0.69814, 0.47051,0.72086, 0.45969,0.73580
0.9301, 0.55671,0.55091, 0.47856,0.62831, 0.44531,0.66507, 0.42681,0.68662, 0.41501,0.70080
0.9351, 0.52318,0.52215, 0.44064,0.59480, 0.40513,0.62939, 0.38527,0.64970, 0.37256,0.66306
0.9401, 0.49139,0.49124, 0.40480,0.55893, 0.36720,0.59124, 0.34606,0.61022, 0.33250,0.62272
0.9451, 0.46151,0.45829, 0.37119,0.52083, 0.33165,0.55074, 0.30934,0.56833, 0.29500,0.57992
0.9501, 0.43367,0.42340, 0.33995,0.48063, 0.29865,0.50805, 0.27527,0.52418, 0.26020,0.53482
0.9551, 0.40800,0.38670, 0.31122,0.43847, 0.26833,0.46331, 0.24398,0.47795, 0.22826,0.48760
0.9601, 0.38463,0.34831, 0.28513,0.39451, 0.24082,0.41671, 0.21560,0.42979, 0.19930,0.43843
0.9651, 0.36368,0.30838, 0.26180,0.34890, 0.21624,0.36841, 0.19026,0.37991, 0.17345,0.38750
0.9701, 0.34526,0.26704, 0.24134,0.30183, 0.19470,0.31859, 0.16807,0.32847, 0.15082,0.33500
0.9751, 0.32947,0.22448, 0.22384,0.25347, 0.17630,0.26744, 0.14912,0.27569, 0.13150,0.28114
0.9801, 0.31641,0.18083, 0.20940,0.20399, 0.16113,0.21517, 0.13350,0.22177, 0.11558,0.22612
0.9851, 0.30615,0.13629, 0.19808,0.15361, 0.14926,0.16197, 0.12128,0.16691, 0.10313,0.17017
0.9901, 0.29878,0.09102, 0.18996,0.10251, 0.14074,0.10805, 0.11253,0.11132, 0.09421,0.11349
0.9951, 0.29434,0.04522, 0.18509,0.05089, 0.13564,0.05362, 0.10728,0.05524, 0.08887,0.05631
