0,1,0.6707146,0.128729,0,0,0.9826901,0.1852571
1,1,0.8512653,-0.320746,0,0,-0.8428183,0.5381982
2,1,1.020299,0.3529702,0,0,0.6865078,0.7271224
3,1,0.7808462,-0.2774376,0,0,-0.8999613,0.4359698
4,1,0.7634104,0.2627268,0,0,0.913558,0.4067085
5,1,1.214186,-0.2812903,0,0,-0.4439535,0.8960498
6,2,0.4584799,-0.1759709,0,0,-0.4668764,0.8843226
7,2,0.8747805,0.82701,0,0,0.9718391,0.2356455
8,2,0.5725932,-0.8568177,0,0,-0.9447343,0.327837
9,2,0.2099084,0.2359118,0,0,0.8035657,0.595216
10,2,1.370727,0.3005064,0,0,-0.7329097,0.6803259
11,2,1.298803,-0.4888245,0,0,0.3982937,0.917258
12,2,0.1171215,0.004148418,0,0,-0.9260353,0.377437
13,2,0.6387376,0.9040193,0,0,0.9095706,0.4155494
14,2,1.072245,-0.8365415,0,0,-0.9353338,0.3537664
15,2,0.3894836,-0.1291414,0,0,0.7524407,0.6586601
16,2,0.8224065,0.3804137,0,0,-0.482191,0.8760661
17,2,1.440329,0.3882955,0,0,0.9501672,0.3117405
18,2,0.6024067,-0.8556233,0,0,-0.6774918,0.7355303
19,3,-0.03364208,-0.02714515,0,0,-0.06560612,0.9978456
20,3,1.161193,1.129936,0,0,0.9998933,0.01460567
21,3,0.7842036,-0.8151421,0,0,-0.7958615,0.6054788
22,3,0.7410029,0.1863717,0,0,0.8169442,0.5767167
23,3,0.3737905,-0.2473694,0,0,-0.788473,0.6150694
24,3,0.4312116,0.9179029,0,0,0.9562982,0.2923931
25,3,1.266349,-1.324728,0,0,-0.9576268,0.288012
26,3,-0.02369875,0.09152885,0,0,0.3580079,0.9337186
27,3,0.5631504,0.696837,0,0,-0.4609045,0.8874497
28,3,1.55478,0.07349271,0,0,0.5732565,0.819376
29,3,1.035455,-0.2687796,0,0,-0.8970925,0.4418428
30,3,0.9042839,-0.5204642,0,0,0.3518688,0.9360493
