-0.509928409,-0.794762058,0.151235108,-0.352567086
-0.287841964,-0.835186019,0.155625334,-0.350665833
-0.193729454,-0.823020888,0.159980066,-0.348730664
-0.135453312,-0.806209793,0.164299397,-0.34676231
-0.093010699,-0.7896428,0.168583428,-0.344761492
-0.059350126,-0.774060083,0.172832271,-0.342728919
-0.031263272,-0.759489819,0.177046045,-0.34066529
-0.007039531,-0.745822571,0.181224879,-0.338571292
0.014337255,-0.732935121,0.185368912,-0.336447605
0.033519767,-0.72071823,0.189478289,-0.334294893
0.050952634,-0.709080722,0.193553163,-0.332113816
0.06695294,-0.697947691,0.197593698,-0.329905017
0.081755212,-0.687257624,0.201600062,-0.327669134
0.095538144,-0.67695973,0.205572432,-0.32540679
0.108441279,-0.667011741,0.209510993,-0.323118603
0.120575866,-0.657378181,0.213415934,-0.320805175
0.132032165,-0.648029022,0.217287452,-0.318467103
0.14288453,-0.638938637,0.221125752,-0.316104969
0.153195025,-0.630084989,0.224931043,-0.31371935
0.163016052,-0.621448986,0.228703541,-0.31131081
0.172392314,-0.613013981,0.232443466,-0.308879902
0.181362295,-0.604765367,0.236151047,-0.306427172
0.18995939,-0.59669025,0.239826515,-0.303953155
0.198212801,-0.58877719,0.243470106,-0.301458376
0.206148224,-0.581015987,0.247082064,-0.298943352
0.213788415,-0.573397499,0.250662636,-0.296408589
0.221153633,-0.565913503,0.254212072,-0.293854583
0.228262009,-0.558556569,0.257730628,-0.291281822
0.235129843,-0.551319957,0.261218564,-0.288690785
0.241771853,-0.544197534,0.264676145,-0.286081941
0.248201383,-0.537183699,0.268103637,-0.283455751
0.254430577,-0.53027332,0.271501312,-0.280812665
0.260470521,-0.523461683,0.274869445,-0.278153126
0.266331374,-0.516744442,0.278208315,-0.275477568
0.272022467,-0.510117583,0.281518201,-0.272786416
0.277552402,-0.503577388,0.28479939,-0.270080087
0.282929126,-0.497120403,0.288052169,-0.267358988
0.288159998,-0.490743415,0.291276827,-0.26462352
0.293251854,-0.484443427,0.294473657,-0.261874073
0.298211053,-0.478217636,0.297642955,-0.259111032
0.303043527,-0.472063418,0.300785019,-0.256334771
0.307754818,-0.465978312,0.303900148,-0.253545658
0.312350114,-0.459960002,0.306988644,-0.250744052
0.316834284,-0.454006308,0.310050812,-0.247930305
0.3212119,-0.448115173,0.313086958,-0.245104762
0.325487265,-0.442284654,0.316097389,-0.242267758
0.329664436,-0.436512911,0.319082416,-0.239419623
0.333747244,-0.430798202,0.322042348,-0.236560679
0.337739307,-0.425138871,0.3249775,-0.233691241
0.341644055,-0.419533347,0.327888184,-0.230811616
0.345464735,-0.413980131,0.330774717,-0.227922104
0.349204431,-0.408477797,0.333637414,-0.225023
0.352866074,-0.403024985,0.336476594,-0.22211459
0.356452452,-0.397620392,0.339292576,-0.219197155
