Sigma, Rak1 Index Zero
-12.7489999999297,1.00000041666627
-12.7489999999297,1.00009489444931
-12.7489999999297,1.00019489444931
-12.7489999999297,1.00029489444931
-12.7489999999297,1.00039489444931
-12.7489999999297,1.00049489444931
-12.7489999999297,1.00059489444931
-12.7489999999297,1.00069489444931
-12.7489999999297,1.00079489444931
-12.7489999999297,1.00089489444931
-12.7489999999297,1.00099489444931
-12.7489999999297,1.00109489444931
-12.7489999999297,1.00119489444931
-12.7489999999297,1.00129489444931
-12.7489999999297,1.00139489444931
-12.7489999999297,1.00149489444931
-12.7489999999297,1.00159489444931
-12.7489999999297,1.00169489444931
-12.7489999999297,1.00179489444931
-12.7489999999297,1.00189489444931
-12.7489999999297,1.00199489444931
-12.7489999999297,1.00209489444931
-12.7489999999297,1.00219489444931
-12.7489999999297,1.00229489444931
-12.7489999999297,1.00239489444931
-12.7489999999297,1.00249489444931
-12.7489999999297,1.00259489444931
-12.7489999999297,1.00269489444931
-12.7489999999297,1.00279489444931
-12.7489999999297,1.00289489444931
-12.7489999999297,1.00299489444931
-12.7489999999297,1.00309489444931
-12.7489999999297,1.00319489444931
-12.7489999999297,1.00329489444931
-12.7489999999297,1.00339489444931
-12.7489999999297,1.00349489444931
-12.7489999999297,1.00359489444931
-12.7489999999297,1.00369489444931
-12.7489999999297,1.00379489444931
-12.7489999999297,1.00389489444931
-12.7489999999297,1.00399489444931
-12.7489999999297,1.00409489444931
-12.7489999999297,1.00419489444931
-12.7489999999297,1.00429489444931
-12.7489999999297,1.00439489444931
-12.7489999999297,1.00449489444931
-12.7489999999297,1.00459489444931
-12.7489999999297,1.00469489444931
-12.7489999999297,1.00479489444931
-12.7489999999297,1.00489489444931
-12.7489999999297,1.00499489444931
-12.7489999999297,1.00509489444931
-12.7489999999297,1.00519489444931
-12.7489999999297,1.00529489444931
-12.7489999999297,1.00539489444931
-12.7489999999297,1.00549489444931
-12.7489999999297,1.00559489444931
-12.7489999999297,1.00569489444931
-12.7489999999297,1.00579489444931
-12.7489999999297,1.00589489444931
-12.7489999999297,1.00599489444931
-12.7489999999297,1.00609489444931
-12.7489999999297,1.00619489444931
-12.7489999999297,1.00629489444931
-12.7489999999297,1.00639489444931
-12.7489999999297,1.00649489444931
-12.7489999999297,1.00659489444931
-12.7489999999297,1.00669489444931
-12.7489999999297,1.00679489444931
-12.7489999999297,1.00689489444931
-12.7489999999297,1.00699489444931
-12.7489999999297,1.00709489444931
-12.7489999999297,1.00719489444931
-12.7489999999297,1.00729489444931
-12.7489999999297,1.00739489444931
-12.7489999999297,1.00749489444931
-12.7489999999297,1.00759489444931
-12.7489999999297,1.00769489444931
-12.7489999999297,1.00779489444931
-12.7489999999297,1.00789489444931
-12.7489999999297,1.00799489444931
-12.7489999999297,1.00809489444931
-12.7489999999297,1.00819489444931
-12.7489999999297,1.00829489444931
-12.7489999999297,1.00839489444931
-12.7489999999297,1.00849489444931
-12.7489999999297,1.00859489444931
-12.7489999999297,1.00869489444931
-12.7489999999297,1.00879489444931
-12.7489999999297,1.00889489444931
-12.7489999999297,1.00899489444931
-12.7489999999297,1.00909489444931
-12.7489999999297,1.00919489444931
-12.7489999999297,1.00929489444931
-12.7489999999297,1.00939489444931
-12.7489999999297,1.00949489444931
-12.7489999999297,1.00959489444931
-12.7489999999297,1.00969489444931
-12.7489999999297,1.00979489444931
-12.7489999999297,1.00989489444931
-12.7489999999297,1.00999489444931
-12.7489999999297,1.01009489444931
-12.7489999999297,1.01019489444931
-12.7489999999297,1.01029489444931
-12.7489999999297,1.01039489444931
-12.7489999999297,1.01049489444931
-12.7489999999297,1.01059489444931
-12.7489999999297,1.01069489444931
-12.7489999999297,1.01079489444931
-12.7489999999297,1.01089489444931
-12.7489999999297,1.01099489444931
-12.7489999999297,1.01109489444931
-11.5405000000703,1.01119489444931
-11.5405000000703,1.01129489444931
-11.5405000000703,1.01139489444931
-11.5405000000703,1.01149489444931
-11.5405000000703,1.01159489444931
-11.5405000000703,1.01169489444931
-11.5405000000703,1.01179489444931
-11.5405000000703,1.01189489444931
-11.5405000000703,1.01199489444931
-11.5405000000703,1.01209489444931
-11.5405000000703,1.01219489444931
-11.5405000000703,1.01229489444931
-11.5405000000703,1.01239489444931
-11.5405000000703,1.01249489444931
-11.5405000000703,1.01259489444931
-11.5405000000703,1.01269489444931
-11.5405000000703,1.01279489444931
-11.5405000000703,1.01289489444931
-11.5405000000703,1.01299489444931
-11.5405000000703,1.01309489444931
-11.5405000000703,1.01319489444931
-11.5405000000703,1.01329489444931
-11.5405000000703,1.01339489444931
-11.5405000000703,1.01349489444931
-11.5405000000703,1.01359489444931
-11.5405000000703,1.01369489444931
-11.5405000000703,1.01379489444931
-11.5405000000703,1.01389489444931
-11.5405000000703,1.01399489444931
-11.5405000000703,1.01409489444931
-11.5405000000703,1.01419489444931
-11.5405000000703,1.01429489444931
-11.5405000000703,1.01439489444931
-11.5405000000703,1.01449489444931
-11.5405000000703,1.01459489444931
-11.5405000000703,1.01469489444931
-11.5405000000703,1.01479489444931
-11.5405000000703,1.01489489444931
-11.5405000000703,1.01499489444931
-11.5405000000703,1.01509489444931
-11.5405000000703,1.01519489444931
-11.5405000000703,1.01529489444931
-11.5405000000703,1.01539489444931
-11.5405000000703,1.01549489444931
-11.5405000000703,1.01559489444931
-11.5405000000703,1.01569489444931
-11.5405000000703,1.01579489444931
-11.5405000000703,1.01589489444931
-11.5405000000703,1.01599489444931
-11.5405000000703,1.01609489444931
-11.5405000000703,1.01619489444931
-11.5405000000703,1.01629489444931
-11.5405000000703,1.01639489444931
-11.5405000000703,1.01649489444931
-11.5405000000703,1.01659489444931
-11.5405000000703,1.01669489444931
-11.5405000000703,1.01679489444931
-11.5405000000703,1.01689489444931
-11.5405000000703,1.01699489444931
-11.5405000000703,1.01709489444931
-11.5405000000703,1.01719489444931
-11.5405000000703,1.01729489444931
-11.5405000000703,1.01739489444931
-11.5405000000703,1.01749489444931
-11.5405000000703,1.01759489444931
-11.5405000000703,1.01769489444931
-11.5405000000703,1.01779489444931
-11.5405000000703,1.01789489444931
-11.5405000000703,1.01799489444931
-11.5405000000703,1.01809489444931
-11.5405000000703,1.01819489444931
-11.5405000000703,1.01829489444931
-11.5405000000703,1.01839489444931
-11.5405000000703,1.01849489444931
-11.5405000000703,1.01859489444931
-11.5405000000703,1.01869489444931
-11.5405000000703,1.01879489444931
-11.5405000000703,1.01889489444931
-11.5405000000703,1.01899489444931
-11.5405000000703,1.01909489444931
-11.5405000000703,1.01919489444931
-11.5405000000703,1.01929489444931
-11.5405000000703,1.01939489444931
-11.5405000000703,1.01949489444931
-11.5405000000703,1.01959489444931
-11.5405000000703,1.01969489444931
-11.5405000000703,1.01979489444931
-11.5405000000703,1.01989489444931
-11.5405000000703,1.01999489444931
-11.5405000000703,1.02009489444931
-11.5405000000703,1.02019489444931
-11.5405000000703,1.02029489444931
-11.5405000000703,1.02039489444931
-11.5405000000703,1.02049489444931
-11.5405000000703,1.02059489444931
-11.5405000000703,1.02069489444931
-11.5405000000703,1.02079489444931
-11.5405000000703,1.02089489444931
-11.5405000000703,1.02099489444931
-11.5405000000703,1.02109489444931
-11.5405000000703,1.02119489444931
-11.5405000000703,1.02129489444931
-11.5405000000703,1.02139489444931
-11.5405000000703,1.02149489444931
-11.5405000000703,1.02159489444931
-11.5405000000703,1.02169489444931
-11.5405000000703,1.02179489444931
-11.5405000000703,1.02189489444931
-11.5405000000703,1.02199489444931
-11.5405000000703,1.02209489444931
-11.5405000000703,1.02219489444931
-11.5405000000703,1.02229489444931
-11.5405000000703,1.02239489444931
-11.5405000000703,1.02249489444931
-11.5405000000703,1.02259489444931
-11.5405000000703,1.02269489444931
-11.5405000000703,1.02279489444931
-11.5405000000703,1.02289489444931
-11.5405000000703,1.02299489444931
-11.5405000000703,1.02309489444931
-11.5405000000703,1.02319489444931
-11.5405000000703,1.02329489444931
-11.5405000000703,1.02339489444931
-11.5405000000703,1.02349489444931
-11.5405000000703,1.02359489444931
-11.5405000000703,1.02369489444931
-11.5405000000703,1.02379489444931
-11.5405000000703,1.02389489444931
-11.5405000000703,1.02399489444931
-11.5405000000703,1.02409489444931
-13.9574999999297,1.02419489444931
-13.9574999999297,1.02429489444931
-13.9574999999297,1.02439489444931
-13.9574999999297,1.02449489444931
-13.9574999999297,1.02459489444931
-13.9574999999297,1.02469489444931
-13.9574999999297,1.02479489444931
-13.9574999999297,1.02489489444931
-13.9574999999297,1.02499489444931
-13.9574999999297,1.02509489444931
-13.9574999999297,1.02519489444931
-13.9574999999297,1.02529489444931
-13.9574999999297,1.02539489444931
-13.9574999999297,1.02549489444931
-13.9574999999297,1.02559489444931
-13.9574999999297,1.02569489444931
-13.9574999999297,1.02579489444931
-13.9574999999297,1.02589489444931
-13.9574999999297,1.02599489444931
-13.9574999999297,1.02609489444931
-13.9574999999297,1.02619489444931
-13.9574999999297,1.02629489444931
-13.9574999999297,1.02639489444931
-13.9574999999297,1.02649489444931
-13.9574999999297,1.02659489444931
-13.9574999999297,1.02669489444931
-13.9574999999297,1.02679489444931
-13.9574999999297,1.02689489444931
-13.9574999999297,1.02699489444931
-13.9574999999297,1.02709489444931
-13.9574999999297,1.02719489444931
-13.9574999999297,1.02729489444931
-13.9574999999297,1.02739489444931
-13.9574999999297,1.02749489444931
-13.9574999999297,1.02759489444931
-13.9574999999297,1.02769489444931
-13.9574999999297,1.02779489444931
-13.9574999999297,1.02789489444931
-13.9574999999297,1.02799489444931
-13.9574999999297,1.02809489444931
-13.9574999999297,1.02819489444931
-13.9574999999297,1.02829489444931
-13.9574999999297,1.02839489444931
-13.9574999999297,1.02849489444931
-0.70649999991752,1.0381
-0.70649999991752,1.03809489444444
-0.70649999991752,1.0382
-0.70649999991752,1.03819489444444
-0.70649999991752,1.0383
-0.70649999991752,1.03829489444444
-0.70649999991752,1.0384
-0.70649999991752,1.03839489444444
-0.70649999991752,1.0385
-0.70649999991752,1.03849489444444
-0.70649999991752,1.0386
-0.70649999991752,1.03859489444444
-0.70649999991752,1.0387
-0.70649999991752,1.03869489444444
-0.70649999991752,1.0388
-0.70649999991752,1.03879489444444
-0.70649999991752,1.0389
-0.70649999991752,1.03889489444444
-0.70649999991752,1.039
-0.70649999991752,1.03899489444444
-0.70649999991752,1.0391
-0.70649999991752,1.03909489444444
-0.70649999991752,1.0392
-0.70649999991752,1.03919489444444
-0.70649999991752,1.0393
-0.70649999991752,1.03929489444444
-0.70649999991752,1.0394
-0.70649999991752,1.03939489444444
-0.70649999991752,1.0395
-0.70649999991752,1.03949489444444
-0.70649999991752,1.0396
-0.70649999991752,1.03959489444444
-0.70649999991752,1.0397
-0.70649999991752,1.03969489444444
-0.70649999991752,1.0398
-0.70649999991752,1.03979489444444
-0.70649999991752,1.0399
-0.70649999991752,1.03989489444444
-0.70649999991752,1.04
-0.70649999991752,1.03999489444444
-0.70649999991752,1.0401
-0.70649999991752,1.04009489444444
-0.70649999991752,1.0402
-0.70649999991752,1.04019489444444
-0.70649999991752,1.0403
-0.70649999991752,1.04029489444444
