Rak1 10,000 zeros
-24.6877484661512,9112.38037037339
-24.5076740646444,8639.42529495667
-24.3958315727043,9548.57898281304
-24.2402558552929,8178.83468551833
-23.7805905722074,7730.85493414948
-23.3762170601019,9064.06450608636
-23.2131508344035,7295.48497504839
-22.495444636847,6872.78822552902
-22.3646487518599,8592.44573808801
-21.7023240051626,8133.56960053598
-21.6953472180227,6462.90517572454
-21.2389766195592,7686.94038378652
-21.0626908889454,6065.87754969299
-20.6882052731052,5681.21447326068
-20.3803343553863,7253.03049720652
-20.0965589460105,5309.18777473199
-19.968316881232,6831.92816810223
-19.7587940075879,6423.12769939915
-19.6629431545896,4949.92829378542
-19.5780658357033,6026.64505128127
-19.4510808370782,4603.20420357819
-19.3712629311793,4268.85701694117
-19.3105688472608,3946.85836127457
-19.242182310742,5642.48716253945
-18.9293114795263,3637.22718932936
-18.6365358622766,5270.6711164701
-18.3523355452158,3340.3611405002
-17.7857275036654,3056.14167923002
-17.5789681185658,4911.75600300334
-17.1851135385753,2784.48739355982
-16.7465670908277,4565.64359940433
-16.4824680281277,2525.47639088701
-15.8839334989097,4231.95621819938
-15.5414211854747,2278.99973487377
-14.8479074120856,3910.79533836356
-14.4686828453207,2045.80670486587
-14.1445578632826,1825.21414890784
-13.8027197920663,1616.80113233649
-13.6716497188475,3602.48307267041
-13.6209631163084,8553.15731629164
-13.5039621773297,8093.56946668071
-13.460747072454,9024.99638810108
-13.4213458797169,1420.83200776084
-13.0856794131117,9509.85756218908
-13.0541814775253,7646.22485335344
-12.9134360448623,1237.55345398788
-12.5078658898518,9836.53868268167
-12.4946634044503,1066.56618257084
-12.2758949244895,7211.43592566843
-12.1039871244316,3026.00330079632
-12.0623975203968,2755.08980190807
-11.6105901645473,908.038730780147
-11.4537990888915,2496.79079961477
-11.0229139675289,2251.0657724286
-10.9549125011548,5489.27195690854
-10.9152317895395,3307.125673421
-10.8715234849625,9345.05769395418
-10.7556381853661,5122.55997324894
-10.56554986816,5868.64551299655
-10.4999956327963,762.378001843118
-10.2952690819728,2018.3618414506
-10.0932654789368,4767.52649271637
-10.0718661297979,6260.2460014096
-10.0230858138364,1797.38223905844
-9.92320221481126,6382.83214596142
-9.74898245580614,7508.85076601004
-9.46798787597403,8864.63568975944
-9.37734875450468,629.836020345656
-9.35344576440961,7027.13055316146
-9.23845349913112,7951.15949049815
-9.23417085083084,6664.92405541262
-9.14961134340566,6610.90245974355
-9.06979323674987,7455.84276201923
-8.91021342746631,5986.10368801857
-8.85360384637687,6790.08549384096
-8.71332634585642,1588.90217649557
-8.6091338835885,6205.83748801984
-8.52934681582566,7077.25281669887
-8.35220635389725,509.593965937146
-8.20212261256167,7897.07075823067
-8.19384422440104,4099.38304333136
-8.0758396827736,8351.44533007069
-7.85196992319615,4427.22550597165
-7.75562408466177,4534.1078441688
-7.74420361419585,9292.66677885743
-7.70734434473235,402.796511642454
-7.52950659030688,4199.10160158199
-7.52536520187544,5602.95394377208
-7.38806890644921,307.596558039449
-7.37455474439298,3783.09444625349
-7.34760620130285,9784.90293980305
-7.16052835025534,9955.37831155693
-7.0162661586643,2650.69662489621
-6.97897262618307,8809.52043093737
-6.90699556176319,9243.05341650793
-6.83086644184654,2397.0242415194
-6.54941967578126,3478.58517389466
-6.45394368528565,8763.49418278536
-6.40449135462959,1510.39961308913
-6.38466910019658,5439.16356605968
-6.33722804310608,1394.10469522009
-6.3244088843451,9734.59718108881
-6.30231887856434,224.670357998369
-6.17572916562251,8297.81298571809
-6.17507610147346,8406.55760917022
-6.17012098486022,1928.40567246439
-6.1525625883468,3878.24463595315
-6.114561303787,5072.69034671471
-6.05866366600021,3308.51277542505
-6.02210255280021,1714.29821515593
-5.94048860489501,3188.79919680998
-5.79143722060054,2156.66125242767
-5.75178242020502,8820.98056596032
-5.72272161695758,1319.32294851874
-5.68573213697021,5229.32803144363
-5.65789459491625,2918.40053173827
-5.60681018889643,8396.02941367222
-5.55032980718402,4720.76568025277
-5.54091584642766,4883.59239627967
-5.49232468846405,3746.09384190785
-5.47512418066644,2992.57820998606
