IR 3-4,#8800FF
0.499999985694885,3.000000000000000
0.499999985694885,3.000100000000000
0.499999985694885,3.000200000000000
0.499999985694885,3.000300000000000
0.499999985694885,3.000400000000000
0.499999985694885,3.000500000000000
0.499999985694885,3.000600000000000
0.499999985694885,3.000700000000000
0.499999985694885,3.000800000000000
0.499999985694885,3.000900000000000
0.499999985694885,3.001000000000000
0.499999985694885,3.001100000000000
0.499999985694885,3.001200000000000
0.499999985694885,3.001300000000000
0.499999985694885,3.001400000000000
0.499999985694885,3.001500000000000
0.499999985694885,3.001600000000000
0.499999985694885,3.001700000000000
0.499999985694885,3.001800000000000
0.499999985694885,3.001900000000000
0.499999985694885,3.002000000000000
0.499999985694885,3.002100000000000
0.499999985694885,3.002200000000000
0.499999985694885,3.002300000000000
0.499999985694885,3.002400000000010
0.499999985694885,3.002500000000010
0.499999985694885,3.002600000000010
0.499999985694885,3.002700000000010
0.499999985694885,3.002800000000010
0.499999985694885,3.002900000000010
0.499999985694885,3.003000000000010
0.499999985694885,3.003100000000010
0.499999985694885,3.003200000000010
0.499999985694885,3.003300000000010
0.499999985694885,3.003400000000010
0.499999985694885,3.003500000000010
0.499999985694885,3.003600000000010
0.499999985694885,3.003700000000010
0.499999985694885,3.003800000000010
0.499999985694885,3.003900000000010
0.499999985694885,3.004000000000010
0.499999985694885,3.004100000000010
0.499999985694885,3.004200000000010
0.499999985694885,3.004300000000010
0.499999985694885,3.004400000000010
0.499999985694885,3.004500000000010
0.499999985694885,3.004600000000010
0.499999985694885,3.004700000000010
0.499999985694885,3.004800000000010
0.499999985694885,3.004900000000010
0.499999985694885,3.005000000000010
0.499999985694885,3.005100000000010
0.499999985694885,3.005200000000010
0.499999985694885,3.005300000000010
0.499999985694885,3.005400000000010
0.499999985694885,3.005500000000010
0.499999985694885,3.005600000000010
0.499999985694885,3.005700000000010
0.499999985694885,3.005800000000010
0.499999985694885,3.005900000000010
0.499999985694885,3.006000000000010
0.499999985694885,3.006100000000010
0.499999985694885,3.006200000000010
0.499999985694885,3.006300000000010
0.499999985694885,3.006400000000010
0.499999985694885,3.006500000000010
0.499999985694885,3.006600000000010
0.499999985694885,3.006700000000010
0.499999985694885,3.006800000000010
0.499999985694885,3.006900000000010
0.499999985694885,3.007000000000010
0.499999985694885,3.007100000000010
0.499999985694885,3.007200000000020
0.499999985694885,3.007300000000020
